rank	username	minecraft:mined/minecraft:polished_deepslate_slab
1	Winklepicker279	1687
2	500am	1021
3	titanlax	502
4	EMC_	300
5	Spacewardharpy7	174
6	Fuad_R	161
7	RebelAndroid	106
8	ImpavidArcher	100
9	Spenduh	92
10	fffMike	83
11	TheWildMateo	58
12	PlasticOtari	44
13	thewindmillman	39
14	Jeteight	35
14	StinkyDiplomat	35
16	UCP_TheKingK	32
17	pintsizedrogue	31
18	iHuntWeeaboos	28
19	Touched_Bread	23
20	Steelynan	22
21	Ryker	21
22	RoskobiOne	18
23	Da_Boss_Rani	17
24	Marbz_	16
24	Mattesco	16
26	Deathkob	14
27	EcksD	12
28	Mahoose	11
28	fade_emerge78823	11
28	Hermanni__	11
31	00000000-0000-0000-0009-01f898304150	9
32	lizardfightclub	6
33	hm947	4
33	Smashic	4
35	Inchef	3
35	Hyp3rion_	3
35	The_Fulgurator	3
38	Jackattack53	2
38	Jiminie	2
38	mobunni	2
41	beeperbeeper5	1
41	TheSecondLord	1
41	Lord_Jord	1
41	fluddd	1
41	pixelviolin	1
