rank	username	minecraft:mined/minecraft:deepslate_tile_stairs
1	500am	715
2	00000000-0000-0000-0009-01ff0c3e5e4f	658
3	Krowuss	452
4	Mattesco	368
5	Hyp3rion_	352
6	Ezekson	267
7	kyouma777	244
8	rarrq	230
9	hanaryheatwave	227
10	pintsizedrogue	225
11	ImpavidArcher	215
12	Winklepicker279	191
13	RoskobiOne	175
14	Manaateee	170
15	mihimihimihi	163
16	12Magner05	151
17	LeauVox4921	143
18	JETrotter	139
19	Wowful	116
20	Skylord_Luke	114
21	_i_ERROR_i_	105
22	thewindmillman	98
23	SvenskaHugo	89
24	thebaddruid	85
25	YungMaki	83
26	Megarboh	79
27	Jackattack53	77
28	PlasticOtari	74
29	TheSecondLord	69
29	lordpipe	69
31	hm947	66
32	luseis	59
33	beeperbeeper5	58
34	Jimb0nat0r	53
35	Kowcio_	50
36	EMC_	49
36	Nicserso	49
38	MinttyFressh	44
38	Elastiq	44
40	Sleepy_Time_	41
41	ZoomieZoomie	39
42	Arceus1975	38
43	fade_emerge78823	35
44	Marbz_	32
44	AdmiralSmoke	32
46	Mahoose	30
47	Spacewardharpy7	29
47	iSammael	29
49	pixelviolin	28
50	GooseWithin	27
51	RebelAndroid	23
52	Fuad_R	21
53	sp00ky_ghost977	20
54	Blackberry1310	18
54	MineMaster0012	18
56	k_ce	17
57	jessewegottacook	16
58	AltnumberF4	15
59	Huwulling	12
59	Solar_Power	12
59	fluddd	12
59	Lord_Doob	12
63	Smashic	11
64	Pofen	10
64	PigDab	10
66	DinoDoctor_	8
66	Lez_	8
68	Ryker	7
69	Touched_Bread	6
70	ZaneABrain	5
70	Methalox1	5
70	Enderxz3	5
73	Mr_Byzantine	4
73	joethahobo	4
73	Inchef	4
73	The_Fulgurator	4
73	CalebDHawk	4
78	Snowflowe	3
78	_Boipl_	3
78	Steelynan	3
81	Merv__	2
81	diamondgolem35	2
81	StinkyDiplomat	2
81	SkinnyBois	2
85	H0UNDFRMH3LL	1
85	PazinGaming	1
85	91stCataclysm	1
85	Spenduh	1
85	LeEricc	1
85	mobunni	1
85	RadarHz	1
85	Legendosh	1
