rank	username	minecraft:mined/minecraft:brown_terracotta
1	Snowflowe	8128
2	Rumpletaezer	6287
3	MilleGrug	5654
4	oxfordschool	4951
5	TheShyPig	3701
6	Spacewardharpy7	3459
7	EMC_	2959
8	Deerfoot	2805
9	Freak_Genius	2589
10	the_russell1611	2068
11	Sral7	1977
12	lordpipe	1938
13	KingMatthew506	1781
14	EveryonesUncle	1741
15	Steven1282598	1659
16	Werbe	1631
17	Dusk_95	1506
18	Inbefour	1503
19	Steelynan	1502
20	joethahobo	1262
21	Hyp3rion_	1185
22	Onennon	1164
23	ApophisNova	1113
23	MyNamaSheff	1113
25	MightyWertu	986
26	ROY4LE	983
27	EcksD	955
28	Hoid_the_Roamer	879
29	Hermanni__	867
30	Parcc	814
31	gabriels543	808
32	Nicserso	790
33	kekhon	740
34	RebelAndroid	673
34	mwrty	673
36	SuperPooch06	665
37	fred870d	651
38	PhantomsGhost_	627
39	TooManyDuck	574
39	QueenShuvi	574
41	Fullut	560
42	diggydog67	537
43	Nyxiom_	530
44	NomadicRobin_	500
45	cog	496
46	Rebytre	488
47	RatatJuice	487
48	_Nuf	442
49	thewindmillman	416
50	_naturell	393
51	TheSecondLord	379
52	Blaiku	360
53	Lord_Jord	344
54	titanlax	327
55	Kakolbus	326
56	El_Jalapeno	321
57	fanofbands101	320
58	Chromary	315
59	Mahoose	313
60	beeperbeeper5	309
61	fkGrim	294
62	YungMaki	292
63	Kamflame10	289
64	CoffeeNoir	286
65	AuroraValkyrie	284
66	ImDisconnected_	269
67	TechnoNinja64	268
68	Barlycorn	235
69	Merv__	227
70	Stiar	223
71	_Bguette_	202
72	error10101	200
73	theonlymagikarp	196
74	audiocracked	186
75	mariominejedi	182
76	MyNameIsJobo	180
77	Deodorante	178
78	pintsizedrogue	175
79	Swexti	172
80	chipklip	171
81	SDMNAEK	163
82	Nycteus_	161
83	MinttyFressh	145
84	adiccting01	143
85	djancak	140
86	PortlyPete69	135
87	Enderslayerxz3	130
88	jcool7	125
89	fluddd	110
90	500am	101
91	Natty	97
92	Di_infiri	96
93	masskedman	93
94	MovingFish7	92
95	gcaisawesome	85
96	Akoot_	82
97	ProfessorBee	77
97	wirelesstree	77
97	EcksDofficial	77
100	The11thDoctor	76
101	Sabby65	75
102	Frozil12	74
103	Zaridey	72
104	Kowcio_	70
105	Juk3b0x	66
106	nocturne78	65
107	__tomato	57
108	_Virify_	56
109	Noah_Bez	49
110	Ozixar	46
111	Blu3beast	45
112	soundad	42
113	Groovy_MoonBird	40
114	fade_emerge78823	38
115	TTNG	36
116	Comma__	35
116	yatsuta	35
118	thescout7	34
119	imthatpikachu	33
119	Hiryu27	33
121	eitanzaki	30
121	bloodbiter	30
123	XxCookiequeenxX	29
124	SpaceTurtleOX	26
125	Deathkob	25
126	LotusProject	24
127	MixerDixer	22
128	m_be9	20
128	Kouridragon	20
128	LilLizardWizard	20
128	MeetTheWollo	20
132	SammiWolfGirl	19
133	G1ldor	18
134	Skippeh	17
135	Notta	16
135	SteveCraftBlocks	16
135	RefluxRatio	16
138	the__Reaper4999	15
139	livingdaydreams	14
140	rarrq	12
140	WinterYoke	12
142	monky_irl	11
142	Segotep999	11
144	Darkgon	10
144	NameGenerat0r	10
146	Scathra	9
146	AnnieBathory	9
146	wfk7	9
149	Jovaphobic	8
149	Bandito_Roamer	8
149	UncleDanDan	8
149	Lowjinx	8
153	noam464	7
154	ImpavidArcher	6
154	ShedJr_	6
154	Blackberry1310	6
154	CarltheCuck	6
154	yulgur1	6
154	lillips	6
154	DarlaMeow	6
154	_Karmaa	6
154	Eraxa	6
163	6king6colt6	5
163	Historical_Sand	5
163	BobDeBouwer1337	5
163	StylesK	5
163	MyNameIsDakar	5
163	Smoke____	5
169	Awyrlas	4
169	xxPipperDipperxx	4
169	iHuBlack	4
169	Karbl	4
169	The_slideV3	4
169	Spenduh	4
175	301851	3
175	Vizzoid	3
175	bmac2718	3
175	loveseeker	3
175	_8man	3
175	Bumpy419	3
175	RobotMinion101	3
175	ooga47	3
175	natajimi	3
175	SexcMf	3
175	PlasticOtari	3
186	elicobnoah	2
186	egglapras	2
186	Skylord_Luke	2
186	PigDab	2
186	Blamphe	2
186	Quincannon	2
186	claivin	2
186	stahouo	2
186	Ezekson	2
186	Weepingbiel	2
186	Legendosh	2
197	zqw10k	1
197	dabloons	1
197	Barjas	1
197	SpaceGrenadier	1
197	Scattman_	1
197	set67	1
197	SellyZ	1
197	zylanzagreat	1
197	calajimi	1
197	drompje	1
197	Kim_Jong_eel	1
197	RodSerlingCringe	1
197	LexMakesHistory	1
197	ItsDeltaMC	1
197	07shiny	1
197	pixelviolin	1
197	Quotary	1
197	Deliriohm	1
