rank	username	minecraft:mined/minecraft:light_blue_stained_glass_pane
1	Ezekson	694
2	Hyp3rion_	561
3	Hiryu27	328
4	Mr_Byzantine	138
5	RebelAndroid	122
6	12Magner05	121
7	beeperbeeper5	101
8	sp00ky_ghost977	96
9	Merv__	81
9	rarrq	81
11	Blackberry1310	71
12	QueenShuvi	68
12	Groundler	68
14	Eraxa	66
15	Marbz_	62
16	MilleGrug	56
17	Steelynan	54
18	LexMakesHistory	53
19	Inbefour	52
19	TechnoNinja64	52
21	Chromary	48
22	SaucyDark	43
23	T045RTY	40
24	ShedJr_	36
25	TheSecondLord	30
25	claivin	30
27	MattieHD	28
27	MyNameIsJobo	28
29	RoskobiOne	27
30	SoftSix	24
30	cedric72	24
32	titanlax	22
33	kekhon	21
34	Onennon	18
34	obzii	18
36	Doom_melon	17
36	the__Reaper4999	17
38	alderban107	16
38	UrbanPlanner1978	16
40	chipklip	15
41	joethahobo	14
41	_Karmaa	14
43	Mattesco	13
44	The_slideV3	11
45	TheShyPig	10
46	KarlKaek	9
46	TheTrueClipse	9
48	MSK__	8
48	ROY4LE	8
48	__Fanda__	8
48	fkGrim	8
52	Cowison	7
53	Dedalus36	6
53	redikul	6
53	noam464	6
53	ooga47	6
53	Blaiku	6
53	SkateboardR6	6
53	geekbird	6
60	dabloons	5
60	Reamdin	5
60	InfernalMound	5
60	2Stout	5
60	lordpipe	5
60	BlankityMcBlank	5
60	PlasticOtari	5
67	ImpavidArcher	4
67	eitanzaki	4
67	Jackattack53	4
67	tobinwilliams	4
67	stellarjay	4
67	OnlyOfficial	4
73	pintsizedrogue	3
73	Mahoose	3
73	RobotMinion101	3
73	extralargenose	3
73	Enderslayerxz3	3
78	nataliecool	2
78	Hpdinosaur	2
78	Flores991	2
78	jimintyy	2
78	Historical_Sand	2
78	Swexti	2
78	MinttyFressh	2
78	500am	2
78	Smashic	2
78	SellyZ	2
78	Winklepicker279	2
78	burbankbuilder28	2
78	HyperCave	2
78	YahooScreen9000	2
78	lillips	2
78	El_Jalapeno	2
78	Frozil12	2
78	Strangemonkey71	2
78	Earlesstrain4	2
78	The_SlideV5	2
98	Groovy_MoonBird	1
98	EMC_	1
98	6king6colt6	1
98	ProfessorBee	1
98	mwrty	1
98	Di_infiri	1
98	SuperPooch06	1
98	Zythose	1
98	ApophisNova	1
98	fred870d	1
98	Kokeech	1
98	ToastedGamingYT	1
98	LilLizardWizard	1
98	NomadicRobin_	1
98	EveryonesUncle	1
98	Dusk_95	1
98	TheEnderman548	1
98	Soplight	1
98	SammiWolfGirl	1
98	oxfordschool	1
98	EcksD	1
98	MyNamaSheff	1
98	jnp_gaming	1
98	EcksDofficial	1
