rank	username	minecraft:mined/minecraft:pointed_dripstone
1	beeperbeeper5	4304
2	pintsizedrogue	862
3	sebastiensaborio	370
4	PlasticOtari	320
5	T045RTY	222
6	Enderslayerxz3	119
7	TheSecondLord	115
8	500am	98
9	MAns_44	67
10	Kakolbus	64
11	Kubelz	62
12	RebelAndroid	58
13	Lord_Zacler	54
14	thewindmillman	48
15	RoskobiOne	47
16	Mahoose	46
17	Legendosh	41
18	xxPipperDipperxx	40
19	Smoke____	33
20	Spacewardharpy7	29
21	SlayerCrypto	27
22	SingedBread	22
22	00000000-0000-0000-0009-01f898304150	22
24	Marbz_	21
24	Vegvisir	21
26	Mattesco	18
27	_stets	17
27	Kowcio_	17
29	MilleGrug	15
30	HolyVenom	14
30	YungMaki	14
32	PhantomBionic	9
32	SquadMonster	9
32	breadbowlgamer	9
32	Winklepicker279	9
32	Dan_Scha	9
37	susbakaimpostor	8
37	EMC_	8
37	ApophisNova	8
37	MyNamaSheff	8
41	diamondgolem35	7
41	_Razar	7
41	Joestra	7
41	Steven1282598	7
45	Flores991	6
45	Inchef	6
45	SuperPooch06	6
45	MyNameIsDakar	6
45	wwwwinnebagoooo	6
45	IdeallyGrey	6
51	r123moore	5
51	Hyp3rion_	5
51	wilgot_	5
51	Klerick	5
51	EveryonesUncle	5
51	lordpipe	5
51	pixelviolin	5
51	Skippeh	5
51	WYFYoyo	5
60	Ithaca_GC	4
60	sp00ky_ghost977	4
62	soundad	3
62	eitanzaki	3
62	joethahobo	3
62	Chickenchaser2	3
62	Jackattack53	3
62	TheEnderman548	3
62	Quotary	3
69	_Boipl_	2
69	Skylord_Luke	2
69	Jiminie	2
69	Freak_Genius	2
69	verynothing	2
69	Soplight	2
69	SammiWolfGirl	2
69	Sheldor097	2
69	Ezekson	2
69	RadarHz	2
79	Drlzyy	1
79	12Magner05	1
79	MinttyFressh	1
79	Enigma0251	1
79	crying_wolf_13	1
79	Xalithia	1
79	noam464	1
79	benediktine1	1
79	The_Fulgurator	1
79	PigDab	1
79	TJawesome09	1
79	Deathkob	1
79	Not_Insom	1
79	MineMaster0012	1
79	aywri	1
79	EtherealEspresso	1
79	Spenduh	1
79	Xi_J1nping	1
79	EcksD	1
79	AltnumberF4	1
