rank	username	minecraft:mined/minecraft:gray_wall_banner
1	Eraxa	63
2	PlasticOtari	29
3	beeperbeeper5	28
4	Incinere	9
5	k_ce	6
5	Awyrlas	6
7	Mahoose	5
7	Lez_	5
9	Blackberry1310	4
9	Chromary	4
9	Kowcio_	4
12	Merv__	3
12	Onennon	3
12	Mattesco	3
15	joethahobo	2
15	H72l9w	2
15	rarrq	2
15	_Dean_123	2
15	emrekn	2
15	olliebollie48	2
15	noam464	2
15	oscminus	2
15	Toasty_Tom	2
15	claivin	2
25	LionelHutzESQ	1
25	ShedJr_	1
25	titanlax	1
25	r123moore	1
25	TheShyPig	1
25	Ender_Souls	1
25	HellsSponge	1
25	MAns_44	1
25	Aezekial	1
25	SammiWolfGirl	1
25	Steelynan	1
25	ConnorDanky_	1
25	Nicserso	1
