rank	username	minecraft:mined/minecraft:mossy_cobblestone_stairs
1	layabout100	61
2	Toiton	48
3	500am	39
4	pintsizedrogue	31
5	killmeiamtraitor	27
6	Sral7	21
7	Eraxa	20
8	impossibleteapot	19
9	EMC_	17
10	RefluxRatio	14
11	thescout7	13
11	Jiminie	13
11	Frozil12	13
11	SammiWolfGirl	13
15	Maenara	12
16	SaltineDream	11
16	MyNameIsJobo	11
18	Kubelz	10
18	ese_wn_po	10
18	godipose	10
18	Enderslayerxz3	10
22	Malorn_Aetherius	9
23	BlancoFlaco	8
23	whoaluv	8
23	Nycteus_	8
26	Notta	7
26	Freak_Genius	7
28	Cryptacity	6
29	Onennon	5
29	wezzzi	5
31	Skylord_Luke	4
32	123louis456	3
32	soundad	3
32	Merv__	3
32	Blackberry1310	3
32	PegLegPete93	3
32	Lord_Jord	3
32	audiocracked	3
32	TechnoNinja64	3
32	Smoke____	3
41	eitanzaki	2
42	FirsTimeGamingTV	1
42	CarbonatedCola	1
42	wTXop	1
42	PuFY	1
42	ogoa	1
42	Meepcraft	1
42	Lutres_Torane	1
42	HellsSponge	1
42	Xclax101	1
42	Steelynan	1
42	FelixPSY375	1
42	Legendosh	1
