rank	username	minecraft:mined/minecraft:crimson_slab
1	12Magner05	796
2	Freak_Genius	639
3	Legendosh	499
4	underscore_2	340
5	Lord_Jord	327
6	PigDab	180
7	thewindmillman	163
8	beeperbeeper5	141
9	Awyrlas	125
10	lordpipe	113
11	Smoke____	105
12	TheWildMateo	103
13	iHuntWeeaboos	95
14	EveryonesUncle	83
15	anbbang	73
16	Mr_Byzantine	70
17	djancak	67
18	Mahoose	66
19	rarrq	58
20	Snowflowe	47
21	Marbz_	43
22	Syropatathe	42
23	_Razar	41
24	MyNameIsDakar	33
25	egglapras	32
26	Optiprimus	26
26	Steelynan	26
28	livingdaydreams	23
29	SvenskaHugo	20
30	RebelAndroid	17
31	kekhon	16
32	Jiminie	12
32	Luigipunch989	12
34	pintsizedrogue	9
35	soundad	7
35	Gryglu583	7
37	KarlKaek	6
37	TheDankPlatypus	6
39	Blackberry1310	5
40	YungMaki	4
41	noam464	3
41	Arceus1975	3
41	Akoot_	3
41	Lutres_Torane	3
41	Spacewardharpy7	3
41	kyouma777	3
41	BiggieDawg	3
48	Lez_	1
48	Jonafrog99	1
48	cwartzo	1
48	Kowcio_	1
48	Eczbek	1
48	Hermanni__	1
