rank	username	minecraft:mined/minecraft:hay_block
1	_witch_craft_	1475
2	corvidpartyfor6	1358
3	500am	1031
4	k_ce	949
5	Mattesco	817
6	Enderxz3	639
7	pintsizedrogue	636
8	thewindmillman	598
9	shineh10	475
10	Segotep999	471
11	Kim_Jong_eel	469
12	joethahobo	451
13	Manaateee	428
14	Kowcio_	405
15	Mr_Byzantine	402
16	Ezekson	329
17	cuddlyMonster	304
18	TheWickedBird	276
19	Megarboh	253
20	teslawolf38	245
21	royal_2	241
21	F_Uhre	241
23	ARandomHedge	230
24	Vizzoid	229
25	Awyrlas	223
26	zToasty69z	221
27	Groovy_MoonBird	220
28	TheShyPig	218
29	diamondgolem35	210
29	Tyrannosplart	210
31	set67	195
32	EMC_	187
33	Mahoose	183
33	Hahaa_0	183
35	luseis	180
36	EveryonesUncle	178
37	Avocadogerms	162
38	kekhon	159
39	CLG_Kata	155
40	PegLegPete93	154
41	_MeowMix	150
42	FreakGenius	149
43	Studio4x32	148
44	Lorcout	143
45	beeperbeeper5	140
46	Saucepeh	134
47	Razzgriz	132
48	AstreaTSS	131
49	masskedman	123
50	fanofbands101	118
51	T045RTY	116
52	KliBeast21	115
53	thebaddruid	113
54	ConnorDanky_	112
55	thescout7	111
55	Yamdalorian	111
57	MinttyFressh	109
58	gcaisawesome	107
59	Cache3	105
60	Kouridragon	104
61	Historical_Sand	103
61	Dakar_	103
63	NotMyLucKMC	102
64	Xclax101	101
65	rarrq	99
65	ROY4LE	99
67	TheSecondLord	93
67	Kakolbus	93
67	HesDemonPants	93
70	Crowman1	92
70	DTwenty	92
70	robonya_	92
73	Onennon	91
73	Blu3beast	91
73	mihimihimihi	91
73	Njensen7	91
73	LuvLuvLove	91
78	11Brewer	89
79	kaiwill0w	87
80	SaucyDark	86
80	TAKrules	86
82	Merv__	85
83	Hyugo	84
83	victorLIE	84
85	Cellcorgi649	83
85	_i_ERROR_i_	83
85	diggydog67	83
88	abramgray	82
88	CarltheCuck	82
90	Jimb0nat0r	81
91	duelcard	79
92	SvenskaSara	77
92	SvenskaHugo	77
94	Tmb1	76
95	uhm__okay	74
95	TheDankPlatypus	74
95	Skylord_Luke	74
95	EngagedGrub41	74
95	_AAZAR	74
100	ImpavidArcher	73
101	Apollo_993	72
101	ebidy	72
101	Legendosh	72
104	Secret_Canary	71
104	falcon244	71
106	WinterSepp	70
107	IdeallyGrey	69
108	Qorbyn	68
108	Iamthejo	68
110	Rumpletaezer	67
111	Flex_Tape_Phil	66
111	Lez_	66
111	Krowuss	66
111	NATE_the_HALO	66
111	KingMatthew506	66
116	robertsnose	65
116	mymayowasgone	65
116	TylerDupree	65
116	ImDisconnected_	65
120	12Magner05	64
121	Akoot_	63
121	Gus2005	63
123	w3nd3lbo3	62
124	Alfred603	60
124	excelsionprime	60
124	spellmre	60
127	Sleepy_Time_	59
128	Rebytre	58
128	DrProfAwesome	58
130	vandmanden	57
131	Jekyll	56
131	Buuck_	56
133	BPTY4618	55
133	UncreativeArtist	55
133	Thomez_	55
133	MAns_44	55
133	SpacesickPrism	55
133	LeeMcGee30	55
139	MrMonster61	54
140	DanTheBuilderino	53
140	ElKaySVK	53
142	Huwulling	52
142	lordsaladito	52
142	Di_infiri	52
142	TheSeismicDuck	52
146	bloodbiter	51
146	noam464	51
146	PortlyPete69	51
149	imNP	50
149	YairZaki	50
149	LeEricc	50
152	j5ylim	49
152	Alteriity	49
152	_Karmaa	49
152	Methalox1	49
152	Yahir091	49
152	Goat_Man512	49
158	Renewability	48
158	Soplight	48
160	QuiCreans	46
160	nagyvad	46
162	Stynxy	45
162	Joestra	45
162	smogfrog	45
162	WYFYoyo	45
166	Vryistal	44
166	ActualPatbaf	44
166	wezzzi	44
166	LazySupport00	44
166	Winston_Ingram	44
166	WigglyMustard	44
172	Frozil20	43
172	Bolete	43
172	Airem_Core	43
175	4774	42
175	trashmammals	42
175	Paguz01	42
178	NomadicRobin_	41
178	PlasticOtari	41
180	philandr	40
180	Aavermu	40
182	Marbz_	39
182	stellarjay	39
184	lolofied	38
184	6king6colt6	38
184	ATrojansLegend	38
184	emrekn	38
184	Boipl	38
184	Quaintster	38
184	_flud	38
191	AlazelTheReal	37
191	m_be9	37
191	Taco_Cat898	37
191	CarryLine	37
191	little_dUki	37
196	Bandito_Roamer	36
196	Azorathum	36
196	301851	36
196	Tersea_	36
196	LovableFemboy	36
196	Spacewardharpy7	36
196	SpaceTurtleOX	36
196	00000000-0000-0000-0009-01ff0c3e5e4f	36
204	SugarMyNuggets	35
204	Myrlewen	35
204	Kronos42	35
204	Raspberry_Sodas	35
204	KartivGal	35
209	dimondking777	34
209	Creativebuilder2	34
209	SeverianOfUrth	34
209	Prayingninja	34
209	MrMeisterProper	34
214	yheece	33
214	JitteryJared2	33
214	WarMachina	33
214	Dan_Scha	33
214	sp00ky_ghost977	33
214	doublemaki	33
214	fffMike	33
214	TheALV	33
222	noyan121	32
222	Loooooc	32
222	OfficerAnvil	32
222	2blox_	32
222	remmisrat	32
227	Fullut	31
227	ABitOddish	31
227	Rasmanden	31
227	WeebleSock	31
227	Calbo_	31
232	tuckerdoodle	30
232	Prodiginus	30
232	tortillatitan	30
232	sq0id	30
236	Michaelelelelele	29
236	CharlieButt	29
236	Ryn777	29
239	MunkaKris	28
239	JokoFiskare	28
239	eitanzaki	28
239	Sophia_Irene	28
239	ougstur	28
244	El_Jalapeno	27
244	xorompole	27
246	Nucket	26
246	Bane_of_Solace	26
246	Swexti	26
246	Xalithia	26
246	SuperPooch06	26
246	GigaSl	26
252	RatatJuice	25
252	Jellybean1312	25
252	Ssor69	25
252	Werbe	25
256	Reneedium	24
256	LordZacler	24
256	Penguinllama517	24
256	natajimi	24
256	Lord_Zacler	24
256	Luigipunch989	24
256	youarefrench_	24
263	soundad	23
263	gren_ben	23
263	steppe_nomad	23
263	Hyp3rion_	23
263	AnnieBathory	23
263	MandenR1	23
269	Aakvaa	22
269	oscminus	22
269	Vanni9	22
272	Gemstuff	21
272	Smashic	21
