rank	username	minecraft:mined/minecraft:cut_red_sandstone_slab
1	loveseeker	43
2	kekhon	34
3	Eraxa	18
4	ImpavidArcher	15
5	RobotMinion101	13
6	OtariCharlie	12
6	Sral7	12
8	Fullut	11
9	The_Quack_Dealer	5
9	chipklip	5
11	ooga47	4
11	Freak_Genius	4
11	lordpipe	4
14	TheShyPig	2
15	SuperPooch06	1
