rank	username	minecraft:mined/minecraft:polished_tuff_slab
1	Secret_Canary	4
1	Buuck_	4
3	CLG_Kata	3
3	MyMawgDonaldsGon	3
3	MAns_44	3
6	net_flex	2
6	Spaghettatron	2
8	thewindmillman	1
8	oscminus	1
