rank	username	minecraft:mined/minecraft:chiseled_deepslate
1	RoskobiOne	293
2	fade_emerge78823	142
3	mihimihimihi	98
4	Nicserso	72
5	Wowful	64
6	SvenskaHugo	44
7	500am	35
7	Moofyman	35
9	pintsizedrogue	31
10	ImpavidArcher	25
10	Arceus1975	25
12	bearlystraight	23
13	Manaateee	21
14	Krowuss	17
15	k_ce	15
15	CalebDHawk	15
17	DinoDoctor_	14
17	thewindmillman	14
19	teslawolf38	10
19	Mookle96	10
19	Mattesco	10
22	Kowcio_	9
23	lordpipe	8
23	Enderxz3	8
23	00000000-0000-0000-0009-01f898304150	8
26	RebelAndroid	7
26	12Magner05	7
28	TheSecondLord	6
28	AdmiralSmoke	6
30	MogusBussy69	5
30	beeperbeeper5	5
30	Inchef	5
30	Silvo614	5
34	FreakGenius	4
34	YungMaki	4
36	Apollo_993	3
36	Megarboh	3
36	Skylord_Luke	3
36	fluddd	3
40	BPTY4618	2
40	SmashingPump	2
40	MinttyFressh	2
40	Winklepicker279	2
40	Snowflowe	2
40	fw3xy74	2
40	tsitrawhy	2
40	_i_ERROR_i_	2
48	nattybears	1
48	Alteriity	1
48	MrKrabOnCoke	1
48	Sleepy_Time_	1
48	Cellcorgi649	1
48	Marbz_	1
48	Jackattack53	1
48	_Boipl_	1
48	JETrotter	1
48	ApophisNova	1
48	Elastiq	1
48	Lord_Jord	1
48	Toasty_Tom	1
48	Fuad_R	1
48	RoBe__	1
48	wwwwinnebagoooo	1
48	ItsDeltaMC	1
48	Segotep999	1
48	Soplight	1
48	Eczbek	1
48	MyNamaSheff	1
48	Legendosh	1
48	PlasticOtari	1
