rank	username	minecraft:mined/minecraft:red_stained_glass_pane
1	Eraxa	487
2	luseis	458
3	TheShyPig	255
4	Huwulling	246
5	pintsizedrogue	236
6	El_Jalapeno	132
7	beeperbeeper5	121
8	k_ce	98
9	Nicserso	87
10	Groundler	77
11	Krowuss	76
12	Jimi7hits	67
13	IamCL4SSY	57
14	pixelviolin	54
15	Crowman1	51
16	jacxhadow	49
17	TechnoNinja64	47
18	DizzleJay311	44
19	Lez_	42
20	ROY4LE	41
21	Snowflowe	37
22	Blackberry1310	32
23	F_Uhre	31
24	TheSecondLord	29
25	Parcc	28
26	FreakGenius	26
26	Spacewardharpy7	26
26	Optiprimus	26
29	redikul	25
30	MakeHistory157	20
31	rarrq	18
31	GoofyBread	18
31	AssFullaCum	18
34	CoffeeNoir	17
34	Mahoose	17
34	m_be9	17
34	jnp_gaming	17
38	SaucyDark	16
39	PeteO1995	15
39	PaperCanvas	15
41	thescout7	14
41	Kowcio_	14
43	livingdaydreams	13
43	Lord_Jord	13
43	JoCoLi	13
46	Onennon	12
46	YungMaki	12
48	Solar_Power	11
48	fffMike	11
48	AdmiralSmoke	11
51	eitanzaki	10
51	Marbz_	10
51	MovingFish7	10
51	TheTommyGun63	10
51	Steelynan	10
56	__tomato	9
56	VentiHilton	9
58	emrekn	8
58	yheece	8
58	Blu3beast	8
58	xolstoi	8
62	Isaac70096	7
62	Mattesco	7
62	lcvezra	7
65	CLG_Kata	6
65	Merv__	6
65	EMC_	6
65	olliebollie48	6
65	Maenara	6
65	Blaiku	6
65	ConnorDanky_	6
65	PlasticOtari	6
65	skrongus	6
74	Badenbeele	5
74	Ryan_GEMS	5
74	Hpdinosaur	5
74	MrExplorer	5
74	UncreativeArtist	5
74	NomadicRobin_	5
74	HellsSponge	5
81	BobDeBouwer1337	4
81	MinttyFressh	4
81	oscminus	4
81	claivin	4
81	tompup	4
86	r123moore	3
86	noam464	3
86	Chromary	3
86	PigDab	3
86	EveryonesUncle	3
86	Tyrannosplart	3
86	obzii	3
86	Winston_Ingram	3
94	PazinGaming	2
94	joethahobo	2
94	dopplexd	2
94	titanlax	2
94	kekhon	2
94	surfinggiraffejp	2
94	xxPipperDipperxx	2
94	Bumpy419	2
94	Werbe	2
94	zToasty69z	2
94	YahooScreen9000	2
94	NameGenerat0r	2
94	Quaintster	2
94	Druid95	2
94	SexcMf	2
94	Soplight	2
94	EcksD	2
94	FelixPSY375	2
94	HesDemonPants	2
94	trexgb	2
114	TooManyDuck	1
114	ZaneABrain	1
114	Devintronix	1
114	Comma__	1
114	500am	1
114	Smashic	1
114	wTXop	1
114	JitteryJared2	1
114	WolfthePiggy	1
114	ItsAki_	1
114	HeraclesOGU	1
114	ChocolatePepsi	1
114	Racengan	1
114	bluemage31	1
114	Paigefly	1
114	mihimihimihi	1
114	ElectricDragon81	1
114	SvenskaHugo	1
114	Spenduh	1
114	ImWhiteJesus	1
114	_3Stump_	1
114	laron58	1
114	Armetti	1
114	blackmage426	1
114	MadmanRaven	1
114	Faart	1
