rank	username	minecraft:mined/minecraft:magenta_wall_banner
1	royal_2	123
1	ROY4LE	123
3	masskedman	114
4	Blu3beast	55
5	Kowcio_	31
6	beeperbeeper5	27
7	Blackberry1310	24
8	500am	20
9	FiguraDei	18
10	Mahoose	17
10	MAns_44	17
10	SammiWolfGirl	17
13	FreakGenius	15
14	doublemaki	14
15	Fullut	11
15	excelsionprime	11
15	thescout7	11
18	Racengan	10
19	mwrty	9
19	lordpipe	9
19	ProbsNotNova	9
19	ConnorDanky_	9
23	Napoleonpancake	8
23	kekhon	8
23	set67	8
23	Mattesco	8
23	Ender_Souls	8
23	TechnoNinja64	8
29	6king6colt6	7
29	TooManyDuck	7
29	TheDumbHuman	7
29	Soplight	7
29	Ezekson	7
34	crying_wolf_13	6
34	Arceus1975	6
34	YungWali	6
34	MovingFish7	6
34	pixelviolin	6
39	SaucyDark	5
39	_Dean_123	5
39	burbankbuilder28	5
42	Apollo_993	4
42	luseis	4
42	KingMatthew506	4
45	ECstardust	3
45	RebelAndroid	3
45	joethahobo	3
45	rarrq	3
45	legal_tax_evader	3
45	Akoot_	3
45	_flud	3
45	Spenduh	3
53	pintsizedrogue	2
53	Isaac70096	2
53	zorin123	2
53	Mewar	2
53	craaaash	2
53	Onennon	2
53	TheSeismicDuck	2
53	Quaintster	2
53	Razzgriz	2
53	miramyu	2
53	LeEricc	2
53	robonya_	2
53	PlasticOtari	2
66	PhantomsGhost_	1
66	PazinGaming	1
66	Merv__	1
66	teslawolf38	1
66	LionelHutzESQ	1
66	Batman922	1
66	Myszoaz	1
66	TheSecondLord	1
66	Scathra	1
66	noam464	1
66	arcanemagic	1
66	RocketRidge	1
66	Jackattack53	1
66	Rebytre	1
66	ApophisNova	1
66	F_Uhre	1
66	TheShyPig	1
66	zToasty69z	1
66	Maenara	1
66	Manaateee	1
66	HellsSponge	1
66	_Karmaa	1
66	Shogunite	1
66	blackeemperor	1
66	SkateboardR6	1
66	ItsJWolff	1
66	OG_Songsee	1
66	douwevh	1
66	Pumpkin_P_Patch	1
66	xzvu	1
66	Sheldor097	1
66	MyNamaSheff	1
66	Enderxz3	1
66	es0th	1
66	TheWickedBird	1
