rank	username	minecraft:mined/minecraft:light_blue_glazed_terracotta
1	Hyp3rion_	612
2	Inbefour	463
3	lordpipe	311
4	eitanzaki	301
5	Merv__	209
6	thewindmillman	208
7	noam464	207
8	Smoke____	131
9	El_Jalapeno	55
10	KG1999	46
11	beeperbeeper5	44
12	KarlKaek	34
13	Di_infiri	31
14	MakeHistory157	27
14	Quotary	27
16	Arceus1975	21
17	Hiryu27	20
18	Wooptey	19
18	Powowowow	19
20	r123moore	18
20	YungMaki	18
22	Soplight	16
23	2Stout	15
24	Meatlaugh	11
25	Freak_Genius	8
26	Mahoose	7
26	EcksD	7
28	Bumpy419	6
28	TheShyPig	6
30	chipklip	5
31	Zythose	4
31	alderban107	4
31	mobunni	4
31	jnp_gaming	4
35	m_be9	3
35	xxPipperDipperxx	3
35	Werbe	3
35	AssEatrAndLicker	3
35	Ezekson	3
40	AJplaysMC_	2
41	Gundam_Steven	1
41	Onennon	1
41	thgrocks	1
41	OG_Songsee	1
41	stahouo	1
41	sebastiensaborio	1
41	EcksDofficial	1
