rank	username	minecraft:mined/minecraft:polished_blackstone
1	500am	1991
2	Lez_	1773
3	lizardfightclub	1768
4	AdmiralSmoke	1499
5	Racengan	1463
6	Mattesco	1255
7	EveryonesUncle	1030
8	Lutres_	728
9	Lord_Jord	725
10	pintsizedrogue	717
11	Hyp3rion_	621
12	beeperbeeper5	557
13	NameGenerat0r	537
14	Snowflowe	489
15	Manaateee	472
16	SkateboardR6	443
17	TheSecondLord	439
18	weabis	369
19	rarrq	368
20	Spenduh	366
21	Legendosh	321
22	TheWildMateo	317
23	set67	262
24	KliBeast21	237
25	k_ce	233
26	DracZSenpai	230
27	IvarEXE	219
28	Spacewardharpy7	213
29	Cowison	211
30	Awyrlas	194
30	FreakGenius	194
32	PlasticOtari	173
33	Huwulling	156
34	hanaryheatwave	154
35	TheShyPig	145
36	XboxPanda	130
37	Ze_BaronKrigler	127
38	Rebytre	123
38	Kowcio_	123
40	lillips	116
41	Fuad_R	105
42	Jackattack53	101
43	FishyBoy3811	100
44	Mahoose	97
44	HyperCave	97
46	diamondgolem35	93
47	ShedJr_	91
48	Nycteus_	87
49	RebelAndroid	82
50	luseis	67
51	12Magner05	66
52	UCP_TheKingK	64
53	eitanzaki	63
54	teslawolf38	62
54	MAns_44	62
54	Jimb0nat0r	62
57	eclipseboi	56
57	ApophisNova	56
57	MyNamaSheff	56
60	SmashingPump	55
61	RoskobiOne	54
62	Kakolbus	42
63	_Boipl_	38
63	Biites	38
65	kekhon	37
65	bearlystraight	37
67	CliffEmAll	35
68	Druid95	34
69	King_Pancake1	33
70	mihimihimihi	30
71	_Razaria	29
71	fffMike	29
73	chipklip	28
73	burbankbuilder28	28
75	Eraxa	25
76	Fullut	24
77	_Mythic____	23
78	noam464	20
78	Vorlice	20
78	PortlyPete69	20
78	Nicserso	20
82	benediktine1	17
82	EcksD	17
84	BobDeBouwer1337	16
84	Optiprimus	16
86	Elastiq	15
87	ImpavidArcher	14
87	r123moore	14
87	Steelynan	14
90	NieToksikpl	13
90	ConnorDanky_	13
92	Deathkob	12
92	MineMaster0012	12
94	SnowyAvi	11
95	4774	10
95	lorpus	10
95	drunkeeez	10
95	CuzIm2Kev	10
95	DanTheBuilderino	10
100	PazinGaming	9
100	Alteriity	9
100	Werbe	9
100	ogoa	9
100	DarkS0L	9
100	shrimp_flips	9
100	YungMaki	9
100	djancak	9
108	m_be9	8
108	thewindmillman	8
108	GravitySaint	8
108	sp00ky_ghost977	8
112	jessewegottacook	7
112	Blackberry1310	7
112	Enderxz3	7
115	ITDV	6
115	Smashic	6
115	HolyVenom	6
115	Shogunite	6
115	Blaiku	6
115	ProfessorDiaper	6
121	CLG_Kata	5
121	KarlKaek	5
121	joethahobo	5
121	Trixididntdie	5
121	Kubeusz2010	5
121	TinyTheMelon	5
127	Mr_Byzantine	4
127	Merv__	4
127	ECstardust	4
127	Ryan_GEMS	4
127	livingdaydreams	4
127	Myrlewen	4
127	titanlax	4
127	The_Fulgurator	4
127	masskedman	4
127	wwwwinnebagoooo	4
127	jcool7	4
127	mobunni	4
139	hm947	3
139	Jakobo1337	3
139	himak1	3
139	PegLegPete93	3
139	LittleIan365	3
139	CarltheCuck	3
139	Zythose	3
139	fw3xy74	3
139	lordpipe	3
139	FishisTTV	3
149	Gundam_Steven	2
149	Crowman1	2
149	MattieHD	2
149	SteveCraftBlocks	2
149	Billious	2
149	CalebDHawk	2
149	ZoomieZoomie	2
149	anbbang	2
157	AuroraValkyrie	1
157	q_wq	1
157	ExtraDumb	1
157	Flores991	1
157	NinjaKnifeKill	1
157	MinttyFressh	1
157	ROY4LE	1
157	ReverendSmith	1
157	Winklepicker279	1
157	Di_infiri	1
157	whoaluv	1
157	Jonafrog99	1
157	0Vyp_	1
157	seramalen	1
157	Maenara	1
157	NomadicRobin_	1
157	StinkyDiplomat	1
157	Airem_Core	1
157	TheTommyGun63	1
157	ItsDeltaMC	1
157	brofrickcheaters	1
157	_i_ERROR_i_	1
157	Njensen7	1
157	Hermanni__	1
157	cichy096	1
157	00000000-0000-0000-0009-01ff0c3e5e4f	1
