rank	username	minecraft:mined/minecraft:soul_soil
1	Zythose	40604
2	Hyp3rion_	17641
3	lordpipe	14519
4	Huwulling	5613
5	Spacewardharpy7	5467
6	pintsizedrogue	5080
7	Krowuss	4881
8	TheSecondLord	4155
9	Kowcio_	3880
10	noam464	3200
11	12Magner05	2916
12	gcaisawesome	2703
13	beeperbeeper5	2430
14	Spenduh	2420
15	Iamthejo	2391
16	Enderxz3	2178
17	TheWickedBird	1907
18	EMC_	1661
19	Blackberry1310	1566
20	Xalithia	1553
21	Di_infiri	1500
22	Mahoose	1275
23	HellsSponge	1263
24	thewindmillman	1198
25	Blaiku	1185
26	PigDab	1180
27	Winston_Ingram	951
28	Ezekson	923
29	4774	922
30	Winklepicker279	899
31	_witch_craft_	865
32	EmrotoL	849
33	doublemaki	792
34	AstreaTSS	709
35	Jackattack53	701
36	Skylord_Luke	661
37	Segotep999	628
38	RebelAndroid	608
39	eitanzaki	584
40	Eraxa	578
41	kekhon	576
42	Yamdalorian	551
43	NomadicRobin_	536
44	EveryonesUncle	527
45	ImpavidArcher	514
46	MSK__	488
47	500am	460
48	ShedJr_	457
49	Morgf	444
50	pixelviolin	423
51	HolyVenom	421
51	Deathkob	421
53	livingdaydreams	415
54	dimondking777	398
55	Kakolbus	390
56	Touched_Bread	373
57	PlasticOtari	325
58	PazinGaming	323
58	breadbowlgamer	323
60	philandr	303
61	set67	293
62	trexgb	288
63	Nicserso	286
64	catandmoose	279
65	Merv__	277
66	Druid95	265
67	T045RTY	264
68	Sheldor097	255
69	djancak	247
70	The_Fulgurator	246
71	MAns_44	242
72	Historical_Sand	241
73	Decaying_Lotus	240
74	Moofyman	233
75	benediktine1	232
76	TheShyPig	219
77	athereall	204
78	MilleGrug	195
79	k_ce	193
80	shineh10	190
81	tuckerdoodle	189
82	mihimihimihi	182
83	fffMike	181
84	Alteriity	179
85	GravitySaint	174
86	diggydog67	170
87	joethahobo	168
87	StarCookiees_	168
89	SammiWolfGirl	165
90	FreakGenius	156
91	diamondgolem35	152
91	Ryan_GEMS	152
91	Synthoum	152
94	lizardfightclub	148
95	SingedBread	141
95	monky_irl	141
97	Cache3	139
98	hanaryheatwave	134
99	AuroraSkies	133
100	SpartanNamor	132
100	Elastiq	132
100	brofrickcheaters	132
103	excelsionprime	131
104	rarrq	130
104	Masssonnn	130
104	DemTechAlpha	130
107	Megarboh	124
108	_Razaria	123
109	hermmm_	121
110	gustarlep	118
111	Fullut	117
112	mwrty	116
112	cuddlyMonster	116
114	Jovaphobic	112
114	oscminus	112
116	Marbz_	111
117	Rebytre	106
118	blackeemperor	105
119	_Mythic____	103
120	titanlax	102
120	_Dean_123	102
120	KeruNatsema	102
123	theonlymagikarp	101
123	PortlyPete69	101
