rank	username	minecraft:mined/minecraft:sponge
1	Ezekson	10987
2	joethahobo	8863
3	thewindmillman	4214
4	EcksD	3009
5	non089	2961
6	MilleGrug	2536
7	EngagedGrub41	2056
8	NomadicRobin_	2049
9	Spacewardharpy7	1514
10	PigDab	1510
11	YungMaki	1446
12	noam464	1343
13	Segotep999	1273
14	Lord_Jord	1255
15	beeperbeeper5	1216
16	Blu3beast	1189
17	Di_infiri	1175
18	Smoke____	1151
19	Jackattack53	1072
20	SpacesickPrism	1034
21	diamondgolem35	888
22	lordpipe	837
23	Fuad_R	794
24	SuperPooch06	748
25	Awyrlas	536
26	Dogcorn69420	429
27	FishisTTV	374
28	M_Patata	349
28	MasterNueve	349
30	eitanzaki	325
31	Frozil20	283
32	calamariclam_I	266
33	Zoeyfortnite	260
34	pintsizedrogue	258
35	Arceus1975	246
36	ImpavidArcher	242
37	Alexanderjac	241
38	Enderslayerxz3	238
39	eviltunix	214
40	Snowflowe	199
41	binman420	170
42	Mahoose	159
43	Da_Boss_Rani	150
44	fffMike	139
45	12Magner05	138
46	ApophisNova	136
46	MyNamaSheff	136
48	Freak_Genius	111
49	tsitrawhy	95
49	Spenduh	95
51	TheDankPlatypus	93
52	obzii	89
53	HellsSponge	83
54	EMC_	81
55	Werbe	79
56	Kowcio_	78
57	MeetTheWollo	67
58	paranoid_plant	66
59	500am	60
60	BumbleBeever	59
60	iSammael	59
62	Miko_Fullbuster	55
63	gcaisawesome	52
64	MightyWertu	46
65	oxfordschool	42
66	stavgod	41
67	Legendosh	39
68	Sky_light_KING	38
69	Sral7	37
70	Blaiku	35
71	FelixPSY375	33
72	Kakolbus	32
73	NameGenerat0r	29
73	SvenskaHugo	29
75	Bumpy419	26
76	Hyp3rion_	25
77	PhantomsGhost_	22
78	Comma__	21
79	T045RTY	20
80	SpookyDraggin	19
81	himak1	18
81	Touched_Bread	18
83	Alteriity	17
83	Fullut	17
83	Maenara	17
86	kekhon	16
87	Groundler	15
87	mihimihimihi	15
89	Rebytre	14
89	Hermanni__	14
91	Inbefour	13
91	TechnoNinja64	13
93	The11thDoctor	11
93	EveryonesUncle	11
93	Drawgirll	11
96	Soap_Bender	10
97	Jovaphobic	9
97	PortlyPete69	9
99	Lez_	8
99	mwrty	8
99	Barlycorn	8
99	pixelviolin	8
103	NinjaKnifeKill	7
103	SammiWolfGirl	7
103	vandmanden	7
106	AuroraValkyrie	6
106	lizardfightclub	6
106	The_slideV3	6
106	MAns_44	6
110	Rumpletaezer	5
110	Hiryu27	5
112	ssleepless	4
112	Chromary	4
112	Onennon	4
112	Eraxa	4
112	yatsuta	4
112	__tomato	4
118	bigstankyy	3
118	Iagoku	3
118	sandmire	3
118	CollinMH06	3
118	Deodorante	3
118	Racengan	3
124	6king6colt6	2
124	Paradoxion	2
124	Cryptacity	2
124	Nicky_H225	2
124	emrekn	2
124	Inchef	2
124	Paintz	2
124	Zythose	2
124	groofles	2
124	Akoot_	2
124	DarlaMeow	2
124	1442	2
124	claivin	2
124	_TCARREIRA_	2
124	Powowowow	2
139	Menthas	1
139	_Virify_	1
139	Merv__	1
139	hm947	1
139	_Frepp_	1
139	Historical_Sand	1
139	Malorn_Aetherius	1
139	TheSecondLord	1
139	XboxPanda	1
139	Zaridey	1
139	Skylord_Luke	1
139	Kynigito	1
139	TheShyPig	1
139	Nicky19	1
139	Russiancat1	1
139	Factoroni	1
139	robotemo	1
139	Kijiki	1
139	Soplight	1
139	stahouo	1
139	HAruSAme14	1
139	Lowjinx	1
139	jnp_gaming	1
139	diggydog67	1
