rank	username	minecraft:mined/minecraft:blackstone_stairs
1	ogoa	282
2	Hyp3rion_	273
3	Blackberry1310	124
4	Snowflowe	110
5	Dusk_95	94
6	drunkeeez	83
7	JEWISHBadenBeele	71
8	Smoke____	67
9	theonlymagikarp	64
10	jacxhadow	63
11	soundad	61
11	Enderslayerxz3	61
13	rarrq	60
14	Werbe	59
15	Mahoose	49
16	pintsizedrogue	48
16	TheSecondLord	48
16	iSammael	48
19	fffMike	47
20	CalebDHawk	44
21	thewindmillman	39
22	YoshikageBites	27
23	titanlax	25
24	YungMaki	24
25	KartivGal	20
26	beeperbeeper5	18
26	Fullut	18
26	benediktine1	18
26	ItsDeltaMC	18
30	Freak_Genius	17
30	lordpipe	17
32	ImpavidArcher	15
32	Lez_	15
34	gustarbite	14
35	eitanzaki	12
35	noam464	12
37	Steelynan	11
37	ZoomieZoomie	11
37	cichy096	11
40	Akoot_	10
41	BobDeBouwer1337	8
41	Lord_Jord	8
43	egglapras	5
44	ShedJr_	4
44	joethahobo	4
44	Arceus1975	4
44	PigDab	4
48	Paint	3
48	T045RTY	3
50	livingdaydreams	2
50	NameGenerat0r	2
50	IvarEXE	2
50	Soplight	2
54	_Virify_	1
54	PhantomsGhost_	1
54	fanofbands101	1
54	PazinGaming	1
54	500am	1
54	Awyrlas	1
54	xxPipperDipperxx	1
54	Touched_Bread	1
54	Winklepicker279	1
54	Di_infiri	1
54	ApophisNova	1
54	ooga47	1
54	Mattesco	1
54	TheShyPig	1
54	Gryglu583	1
54	TheCordicus	1
54	Jiminie	1
54	Nycteus_	1
54	Racengan	1
54	KG1999	1
54	_Yonk_	1
54	SirBreadward	1
54	Miko_Fullbuster	1
54	MyNamaSheff	1
54	Legendosh	1
54	PlasticOtari	1
54	obtusely	1
