rank	username	minecraft:mined/minecraft:spruce_log
1	Blackberry1310	55045
2	TheShyPig	41527
3	Ezekson	37587
4	beeperbeeper5	26206
5	ApophisNova	25221
5	MyNamaSheff	25221
7	500am	24014
8	EveryonesUncle	23317
9	rarrq	20944
10	Zythose	18801
11	Frozil12	16308
12	Fizznut909	15745
13	gcaisawesome	15516
14	TechnoNinja64	14761
15	BlancoFlaco	13714
16	Smoke____	13673
17	MyNameIsJobo	13132
18	Spacewardharpy7	13018
19	lcvezra	12303
20	Freak_Genius	11480
21	_Dean_123	10808
22	Onennon	10608
23	El_Jalapeno	10519
24	YungMaki	10044
25	set67	9832
26	m_be9	9781
27	Akoot_	9738
28	Snowflowe	8605
29	kekhon	8459
30	eitanzaki	8428
31	Legendosh	8325
32	Eraxa	8186
33	Di_infiri	8035
34	lordpipe	7932
35	pixelviolin	7838
36	Kakolbus	7765
37	Mahoose	7415
38	Skippeh	7034
39	HesDemonPants	6982
40	Groundler	6879
41	rotten_mango	6613
42	Tommhh	6418
43	pintsizedrogue	6357
44	Kowcio_	5975
45	Enderslayerxz3	5775
46	Rumpletaezer	5722
47	RodSerlingCringe	5574
48	Merv__	5498
49	xxPipperDipperxx	5437
50	EcksDofficial	5414
51	joethahobo	5406
52	Inchef	5358
52	NomadicRobin_	5358
54	Deathkob	5334
55	q_wq	5312
56	TheSecondLord	5283
57	Racengan	5276
58	Dusk_95	5229
59	Jahara	5206
60	fkGrim	5068
61	OfficerAnvil	5052
62	Werbe	5005
63	anbbang	4895
64	TooManyDuck	4825
65	HellsSponge	4672
66	Malorn_Aetherius	4591
67	2Stout	4528
68	Barlycorn	4526
69	obzii	4523
70	KarlKaek	4440
71	Arceus1975	4330
72	Jiminie	4260
73	ewpunk	4207
74	Meatlaugh	4166
75	Chromary	4130
76	Steelynan	4119
77	PigDab	4007
78	Historical_Sand	3939
79	jacxhadow	3911
80	M_Patata	3865
81	Smiguli_	3848
82	ROY4LE	3724
83	PlasticOtari	3677
84	RoskobiOne	3589
85	SlayerCrypto	3267
86	noam464	3265
87	MasterNueve	3228
88	Zedducius	3148
89	Kamflame10	3040
90	RebelAndroid	3019
91	Sky_light_KING	3003
92	bloodbiter	2967
93	_Karmaa	2944
94	MineMaster0012	2802
94	Soplight	2802
96	SkateboardR6	2795
97	CrateOfBoxes	2793
98	LordSpeed37	2734
99	RobotMinion101	2712
100	thescout7	2662
101	burbankbuilder28	2644
102	Natty	2633
103	Bumpy419	2630
104	EcksD	2629
105	Fullut	2625
106	claivin	2609
107	pappaberg	2599
108	EMC_	2486
109	CalebDHawk	2480
110	Jimi7hits	2404
111	Skylord_Luke	2376
112	Ryker	2363
113	SuperPooch06	2345
114	Blu3beast	2306
115	__Fanda__	2233
116	ogoa	2200
117	cytotoxaint	2129
118	Ardennes	2122
119	BreadBacon	2098
120	Blaiku	2091
121	ayamefag	2081
122	chipklip	2062
123	selectrix	2038
124	Groovy_MoonBird	2012
125	YoshikageBites	1964
126	CSG_Haru	1954
127	T045RTY	1950
128	EfficientC52	1935
129	Inbefour	1819
130	fred870d	1815
131	XboxPanda	1812
131	Vetral1	1812
133	WYFYoyo	1789
134	teslawolf38	1778
135	Jovaphobic	1746
136	Deodorante	1673
137	Swexti	1672
138	Hoid_the_Roamer	1660
139	Unitas_isa	1658
140	diamondgolem35	1627
141	Comma__	1594
142	2blox	1573
143	andy_rex	1566
144	John6970	1550
145	VentiHilton	1549
146	alderban107	1541
147	Tolhart	1538
148	krutas2000	1504
149	awesomeoneme	1494
149	_Bguette_	1494
151	BlueZabu	1482
152	livingdaydreams	1469
153	PegLegPete93	1465
154	NameGenerat0r	1414
155	layabout100	1394
156	laron58	1389
157	Cowison	1387
158	_stets	1382
159	SvenskaHugo	1380
160	SDMNAEK	1377
161	DTwenty	1367
162	Hermanni__	1364
163	MattieHD	1351
164	drumine	1320
165	ProfessorBee	1315
166	Xclax101	1295
167	Kiki_Majiki	1294
168	Nicserso	1291
169	XxCookiequeenxX	1290
170	Valoth	1288
171	Cortexia	1286
172	Bobby808	1276
173	whoaluv	1265
174	Septemb3r	1247
175	MyNameIsDakar	1190
176	dopplexd	1183
176	CruncyIsTaken	1183
178	JustAWill_	1161
179	Covalents	1159
180	Paint	1156
181	ProbablyNick	1153
181	stahouo	1153
183	The_Quack_Dealer	1141
184	The_slideV3	1133
185	ADEXTV	1103
186	Lukeee33	1096
187	SpicyMeatballs	1084
188	Cryptacity	1082
189	07shiny	1080
190	Winklepicker279	1063
191	Froste131	1060
191	PortlyPete69	1060
193	TheThomas69	1059
194	CollinMH06	1052
195	Soap_Bender	1042
196	Deerfoot	1038
196	JayToe	1038
198	NebulousBadger	1032
198	diggydog67	1032
200	SaucyDark	1018
201	H72l9w	1014
202	LeeMcGee30	1006
203	avalan64	1002
204	IWorkAtIkea	990
205	Jackattack53	975
206	Ze_BaronKrigler	970
207	wwwwinnebagoooo	967
208	Mistruth	961
209	jcool7	941
210	SquadMonster	938
211	seramalen	934
212	Enigma0251	932
213	6king6colt6	925
214	Quotary	924
215	ProfessorDiaper	923
216	fr0stss	922
217	redikul	910
218	DC_XII	906
219	Lutres_Torane	899
220	heysushii	897
221	Harotio	895
222	Felenov	889
223	CoffeeNoir	884
223	CrookedKaptain	884
225	dartwaffle	879
226	Foof13	878
227	Mr_Byzantine	874
228	MonitorLizards	868
229	Optiprimus	867
230	bigstankyy	846
231	wezzzi	837
232	MustaLoordi	827
233	ewsophie	826
234	Slapface522	823
235	Dreamdbr14	822
236	Typadopoulos	820
237	BlossomOwO	819
238	seanitoo	818
239	DarlaMeow	815
240	himak1	803
241	Roikdean	802
241	Fuhrer_Teemo	802
243	Menthas	800
244	yatsuta	791
245	TheBiggestFeller	782
246	FlashMigma	766
247	_8man	762
248	DirtyDalle	760
249	TheMilkerOfCats	751
250	SteveCraftBlocks	749
251	RedcatVII	748
252	Negriuke	747
253	Studyhallsaver	746
254	UrbanPlanner1978	743
255	Steven1282598	729
256	surfinggiraffejp	727
257	oxfordschool	725
258	jambvds	717
259	erkada	716
260	Hpdinosaur	714
261	stellarjay	705
262	ExtraDumb	701
263	GLLogan2	700
264	KingMatthew506	698
