rank	username	minecraft:mined/minecraft:purpur_stairs
1	eiC_	1669
2	YungMaki	1052
3	Bandito_Roamer	959
4	Mewar	580
5	masskedman	505
6	m_be9	483
7	PhantomsGhost_	334
8	Blu3beast	307
9	PigDab	280
10	Smoke____	252
11	mihimihimihi	240
12	beeperbeeper5	215
13	lordpipe	207
14	mwrty	185
15	Ecplosive	181
16	OG_Songsee	179
17	RoofTyler	163
18	Inbefour	142
19	FreakGenius	139
20	NotMeowMix	119
21	Kowcio_	117
22	NameGenerat0r	115
23	Afinnity	113
24	MightyWertu	103
25	500am	99
26	6king6colt6	98
27	Comma__	97
28	crying_wolf_13	95
29	Blaiku	94
30	Racengan	93
31	Onennon	91
32	TheSecondLord	89
33	yulgur1	88
34	Frozil20	82
35	jnp_gaming	80
36	Maenara	79
36	Hermanni__	79
38	Fullut	78
38	_TCARREIRA_	78
40	TooManyDuck	75
40	Werbe	75
40	Sral7	75
43	HellsSponge	74
44	Jackattack53	73
45	striker90333	70
46	Rich_Kat	68
46	noam464	68
48	Historical_Sand	67
49	wwwwinnebagoooo	65
50	bigstankyy	63
50	F_Uhre	63
52	thescout7	61
52	lcvezra	61
54	Di_infiri	58
54	Dogcorn69420	58
56	Awyrlas	49
56	MakeHistory157	49
58	gcaisawesome	47
59	TheEnderMan548	46
60	eitanzaki	44
60	Covalents	44
60	vandmanden	44
63	Hisiste	43
64	audiocracked	41
65	Winston_Ingram	40
66	claivin	39
66	xzvu	39
68	Nicserso	37
69	MyNameIsJobo	36
69	Bumpy419	36
71	MissCeleste7	35
72	Ailmast	34
72	ROY4LE	34
74	Myszoaz	33
74	kekhon	33
76	Lepthymo	30
76	excelsionprime	30
76	lizardfightclub	30
76	laron58	30
80	gabriels543	29
81	MinttyFressh	28
81	set67	28
83	pintsizedrogue	27
83	iSammael	27
83	Enderxz3	27
86	Iagoku	26
86	Rumpletaezer	26
86	_Karmaa	26
89	ProfessorBee	24
89	Hyp3rion_	24
89	MustaLoordi	24
92	RebelAndroid	23
92	Fizznut909	23
94	thewindmillman	22
94	MilleGrug	22
96	AuroraValkyrie	21
96	SellyZ	21
96	Shogunite	21
99	Nycteus_	20
100	Marbz_	19
