rank	username	minecraft:mined/minecraft:spruce_pressure_plate
1	chipklip	152
2	egglapras	68
3	MyNameIsJobo	47
4	pintsizedrogue	46
5	Cowison	40
6	Legendosh	29
7	AssFullaCum	27
8	HellsSponge	26
9	EveryonesUncle	21
10	Mahoose	19
11	ROY4LE	16
12	Ze_BaronKrigler	15
13	Jackster03	14
13	_Bguette_	14
15	Alphanzt99	13
15	kekhon	13
15	DermeinUser	13
18	Eraxa	12
18	Ezekson	12
18	PlasticOtari	12
21	Groovy_MoonBird	11
21	Bumpy419	11
21	the_russell1611	11
24	6king6colt6	10
24	ApophisNova	10
24	TheShyPig	10
24	Freak_Genius	10
24	Warlord324	10
24	MyNamaSheff	10
30	Cryptacity	9
30	Werbe	9
30	Xclax101	9
30	Groundler	9
34	tsohomie	8
34	1442	8
34	EcksD	8
34	Zoeyfortnite	8
38	beeperbeeper5	7
38	Ardennes	7
38	xxPipperDipperxx	7
38	pappaberg	7
38	Jiminie	7
38	kinas45y5	7
38	EcksDofficial	7
45	SaucyDark	6
45	MOSS000	6
45	Blackberry1310	6
45	Fullut	6
45	CruncyIsTaken	6
45	RodSerlingCringe	6
45	Blu3beast	6
45	07shiny	6
45	Steelynan	6
54	Dedalus36	5
54	500am	5
54	potato292	5
54	Arceus1975	5
54	Onennon	5
54	erkada	5
60	Incinere	4
60	set67	4
60	r123moore	4
60	Chromary	4
60	Rumpletaezer	4
60	FlashMigma	4
60	El_Jalapeno	4
60	cytotoxaint	4
60	YungMaki	4
60	Quotary	4
70	Paint	3
70	eitanzaki	3
70	AlazelTheReal	3
70	rarrq	3
70	Malorn_Aetherius	3
70	m_be9	3
70	Kakolbus	3
70	420BreadLizard	3
70	ese_wn_po	3
70	_Karmaa	3
80	Tobinator_007	2
80	Foof13	2
80	q_wq	2
80	DepressedCubic	2
80	H72l9w	2
80	ccormacs	2
80	Ozixar	2
80	MattieHD	2
80	Sloths_Ender	2
80	himak1	2
80	lionmindset	2
80	CaptainSteve345	2
80	RobotMinion101	2
80	Shavrin	2
80	Austinizzle	2
80	ADEXTV	2
80	Ragnar2105	2
80	layabout100	2
80	ayamefag	2
80	ediballbearings	2
80	Poppy235	2
80	obzii	2
80	Nicserso	2
103	prodby_Lyka	1
103	dabloons	1
103	Tommhh	1
103	EMC_	1
103	ssleepless	1
103	ImpavidArcher	1
103	Arteriana	1
103	__lobgn__	1
103	Stynxy	1
103	12Magner05	1
103	Megarboh	1
103	ConcretePirate	1
103	orxngejuice	1
103	Inchef	1
103	Dyosy	1
103	ehunt54	1
103	M_Patata	1
103	TableTim	1
103	fr_ser	1
103	Jackattack53	1
103	F_22_	1
103	Zythose	1
103	domagawha	1
103	victricemque	1
103	HyperCave	1
103	fkGrim	1
103	ChocolatePepsi	1
103	proxivitoid	1
103	drumine	1
103	Fuad_R	1
103	SeagullRedRover	1
103	MightyWertu	1
103	lolpoottoot	1
103	DarkLawD	1
103	lordpipe	1
103	Dusk_95	1
103	MasterNueve	1
103	LordSpeed37	1
103	carbo_bro	1
103	robotemo	1
103	Soplight	1
103	Chuglyfe	1
103	PlzNoBM	1
103	CalebDHawk	1
103	jcool7	1
103	ImWhiteJesus	1
103	Enderslayerxz3	1
103	CrazyPotater	1
103	WYFYoyo	1
103	Teebone15	1
103	JayToe	1
103	Smoke____	1
