rank	username	minecraft:mined/minecraft:deepslate_brick_stairs
1	RoskobiOne	503
2	pintsizedrogue	355
3	Winklepicker279	131
4	ImpavidArcher	110
5	Jiminie	82
6	Megarboh	69
7	sp00ky_ghost977	49
8	thewindmillman	48
9	breadbowlgamer	36
10	PlasticOtari	35
11	SquadMonster	33
12	beeperbeeper5	31
13	benediktine1	24
14	KGTV	18
15	00000000-0000-0000-0009-01ff0c3e5e4f	15
16	Mattesco	14
17	YungMaki	13
18	TheSecondLord	9
19	CoffeeNoir	7
19	Jimi7hits	7
19	Enderslayerxz3	7
22	lizardfightclub	6
23	500am	4
24	Ryker	3
24	CalebDHawk	3
26	Marbz_	2
26	Solar_Power	2
26	Lord_Jord	2
26	Lord_Doob	2
30	rarrq	1
30	UCP_TheKingK	1
