rank	username	minecraft:mined/minecraft:potted_warped_roots
1	Mahoose	2
1	eclipseboi	2
1	luseis	2
1	Dusk_95	2
5	BlancoFlaco	1
5	sadvavilloso	1
5	Steelynan	1
