rank	username	minecraft:mined/minecraft:cave_vines_plant
1	PigDab	51
2	Tommhh	45
3	Valoth	43
4	mobunni	38
5	500am	31
6	thewindmillman	28
7	sebastiensaborio	25
8	Smoke____	23
9	2blox	20
10	OtariCharlie	18
11	MyNameIsDakar	17
11	Hermanni__	17
13	Depressi0n_	16
14	dimitri0s	15
14	MinttyFressh	15
16	pintsizedrogue	13
16	SvenskaHugo	13
18	EMC_	12
19	12Magner05	11
20	beeperbeeper5	10
21	_Razar	9
22	regulator75	7
22	Rebytre	7
24	lizardfightclub	6
24	Enderslayerxz3	6
26	rachcl	5
26	_Dean_123	5
26	Rocco_Lane	5
26	KeruNatsema	5
26	Deathkob	5
26	Toriankel	5
32	_stets	4
32	Nycteus_	4
32	Legendosh	4
35	Awyrlas	3
35	Gamergirl420628	3
35	cwartzo	3
35	Kowcio_	3
35	MineMaster0012	3
40	eitanzaki	2
40	SquadMonster	2
40	kekhon	2
40	Lumien_	2
40	Akoot_	2
40	WYFYoyo	2
46	_NieToksikpl_	1
46	CoffeeNoir	1
46	rarrq	1
46	Blackberry1310	1
46	Auseawesome	1
46	TheSecondLord	1
46	egglapras	1
46	orxngejuice	1
46	xxPipperDipperxx	1
46	TheDankPlatypus	1
46	Marbz_	1
46	SuperPooch06	1
46	Skylord_Luke	1
46	RustyBr0	1
46	Joestra	1
46	EveryonesUncle	1
46	Frozil12	1
46	fluddd	1
46	Yahir091	1
46	Spacewardharpy7	1
46	sp00ky_ghost977	1
46	SammiWolfGirl	1
46	GlitchyPlate810	1
46	_Dri_	1
