rank	username	minecraft:mined/minecraft:prismarine_brick_stairs
1	beeperbeeper5	983
2	Hyp3rion_	453
3	MilleGrug	353
4	Ezekson	290
5	ImpavidArcher	209
6	Merv__	150
7	Enderxz3	127
8	xDraggin	118
9	CliffEmAll	85
10	Hiryu27	82
11	Frozil20	79
11	Jackattack53	79
13	AdmiralSmoke	78
14	Legendosh	73
15	HellsSponge	71
16	joethahobo	68
17	Bumpy419	66
18	Kakolbus	55
19	PlasticOtari	49
20	Comma__	48
21	TheShyPig	46
22	Powowowow	43
23	Marbz_	39
23	_Karmaa	39
25	diamondgolem35	37
26	pintsizedrogue	35
26	Maenara	35
26	luseis	35
29	Eraxa	33
30	Blaiku	32
31	PortlyPete69	31
32	xzvu	30
33	Incinere	28
34	lordpipe	25
35	Vellu21	21
36	Notta	20
37	Steelynan	19
38	elicobnoah	17
38	queenalina123	17
38	YungMaki	17
41	Groundler	14
41	TechnoNinja64	14
43	The_slideV3	12
43	weabis	12
43	Barlycorn	12
43	Vorlice	12
47	Mr_Byzantine	11
47	stavgod	11
49	Arceus1975	10
49	Blu3beast	10
51	Fullut	9
51	Skippeh	9
53	Mahoose	7
53	rarrq	7
53	Paintz	7
53	diggydog67	7
57	Apollo_993	6
57	himak1	6
57	lizardfightclub	6
60	MinttyFressh	5
60	poopybh	5
60	ZoharGoldMine	5
60	EngagedGrub41	5
64	aluminumhelmet	4
64	ooga47	4
64	_Bguette_	4
67	LittleBug562	3
67	eitanzaki	3
67	Hisiste	3
70	NasdaqCrash	2
70	Trixididntdie	2
70	alkrie	2
73	kekhon	1
73	noam464	1
73	Di_infiri	1
73	MightyWertu	1
73	TheEnderMan548	1
73	SammiWolfGirl	1
73	UltraZombie	1
73	h2p_emrld	1
