rank	username	minecraft:mined/minecraft:crimson_planks
1	Legendosh	1381
2	beeperbeeper5	898
3	Smoke____	838
4	TheDankPlatypus	415
5	joethahobo	359
6	PigDab	342
7	Freak_Genius	238
8	Lutres_Torane	220
9	ShedJr_	187
10	Marbz_	129
11	Mahoose	117
12	noam464	99
13	Eraxa	77
14	Luigipunch989	75
15	SammiWolfGirl	66
16	anbbang	57
16	Enderslayerxz3	57
18	Zythose	56
19	12Magner05	52
20	Spacewardharpy7	51
21	eitanzaki	46
21	Optiprimus	46
23	RadarHz	42
24	rarrq	40
25	Lord_Jord	33
26	mobunni	31
27	Rebytre	30
28	Hpdinosaur	28
29	kekhon	27
30	RebelAndroid	24
31	TheShyPig	22
31	TJawesome09	22
31	MyNameIsDakar	22
31	PlasticOtari	22
35	thewindmillman	19
36	_Razar	18
36	r123moore	18
36	YungMaki	18
39	Mr_Byzantine	16
39	NomadicRobin_	16
41	set67	15
42	tsitrawhy	14
43	pintsizedrogue	12
43	Kubeusz2010	12
43	jnp_gaming	12
46	Billious	11
46	00000000-0000-0000-0009-01ff0c3e5e4f	11
48	djancak	10
49	cwartzo	9
49	KG1999	9
51	Fractured_	8
51	MSK__	8
51	Eon_57	8
51	Spenduh	8
51	diggydog67	8
56	Blackberry1310	6
56	Snowflowe	6
56	Deathkob	6
59	CalebDHawk	5
59	Steelynan	5
61	6king6colt6	4
61	BobDeBouwer1337	4
61	500am	4
61	Winklepicker279	4
61	fReE_bAtWiNg	4
61	Chromary	4
61	MightyWertu	4
61	kinas45y5	4
69	SteveCraftBlocks	3
69	King_Pancake1	3
69	ItsDeltaMC	3
69	Kowcio_	3
69	Soplight	3
69	guccipucci_	3
75	T045RTY	2
75	mwrty	2
75	Awyrlas	2
75	himak1	2
75	Syropatathe	2
75	Jiminie	2
75	lordpipe	2
75	fffMike	2
75	Skippeh	2
84	ActivelyLogicalt	1
84	Yatitay	1
84	MrExplorer	1
84	xxPipperDipperxx	1
84	regulator75	1
84	AuroraSkies	1
84	EveryonesUncle	1
84	MissCeleste7	1
