rank	username	minecraft:mined/minecraft:deepslate_tiles
1	thewindmillman	5871
2	500am	951
3	ImpavidArcher	626
4	Winklepicker279	520
5	beeperbeeper5	475
6	RebelAndroid	306
7	Smoke____	279
8	hm947	207
9	sebastiensaborio	139
10	OtariCharlie	135
11	Deathkob	114
11	Kowcio_	114
13	rarrq	109
14	YungMaki	108
15	AltnumberF4	84
16	pintsizedrogue	48
17	benediktine1	47
18	Mahoose	41
19	TheSecondLord	37
20	_Boipl_	36
21	Weepingbiel	31
22	PigDab	24
22	lordpipe	24
24	sp00ky_ghost977	22
25	Inchef	16
26	fluddd	7
27	Freak_Genius	5
28	Hermanni__	3
28	RadarHz	3
30	SingedBread	2
30	Spacewardharpy7	2
30	Spenduh	2
30	kinas45y5	2
34	Blackberry1310	1
34	breadbowlgamer	1
34	The_Fulgurator	1
34	ApophisNova	1
34	Toasty_Tom	1
34	MAns_44	1
34	Nycteus_	1
34	IdeallyGrey	1
34	MyNamaSheff	1
34	Legendosh	1
