rank	username	minecraft:mined/minecraft:cracked_deepslate_bricks
1	TheSecondLord	869
2	Mattesco	381
3	SvenskaHugo	329
4	TheBananaKat	320
5	Iamthejo	207
6	Yamdalorian	83
7	Manaateee	73
8	11Brewer	40
9	mihimihimihi	35
10	Wowful	24
11	skroobiez	20
12	milltesco	8
12	Mr_Froxy	8
14	Apollo_993	7
14	TAKrules	7
14	ScootOfBoot	7
14	Enderxz3	7
18	ECstardust	6
18	royal_2	6
18	CaracolCxnt	6
18	NATE_the_HALO	6
22	k_ce	5
22	Sleepy_Time_	5
22	beeperbeeper5	5
22	Hahaa_0	5
26	DinoDoctor_	4
26	PaperCanvas	4
28	_Huge_Male_	3
28	robertsnose	3
28	Merv__	3
28	powercas_gamer	3
28	Jackattack53	3
28	thewindmillman	3
28	Kowcio_	3
35	H0UNDFRMH3LL	2
35	pintsizedrogue	2
35	Niklas20114552	2
35	ImpavidArcher	2
35	Alteriity	2
35	Krowuss	2
35	luseis	2
35	doublemaki	2
35	DairyNickel756	2
44	PazinGaming	1
44	diamondgolem35	1
44	SyntheticSurgeon	1
44	MSK__	1
44	net_flex	1
44	12Magner05	1
44	500am	1
44	hanaryheatwave	1
44	Strats__	1
44	Spacewardharpy7	1
44	FiguraDei	1
44	MrShojo	1
