rank	username	minecraft:mined/minecraft:prismarine_wall
1	MightyWertu	143
2	Lord_Jord	118
3	noam464	75
4	Merv__	57
5	eitanzaki	55
6	Legendosh	49
7	Maenara	32
8	CliffEmAll	30
9	Hiryu27	28
9	Powowowow	28
11	joethahobo	20
12	Fullut	19
12	Spacewardharpy7	19
14	Smoke____	17
15	thewindmillman	14
16	m_be9	13
16	The_slideV3	13
18	Enderslayerxz3	12
19	Notta	11
20	2blox	10
21	lizardfightclub	8
21	Freak_Genius	8
21	Dusk_95	8
24	AuroraValkyrie	7
24	Akoot_	7
24	Vorlice	7
24	stavgod	7
28	Ezekson	6
29	SpookyDraggin	5
30	ImpavidArcher	4
30	ShedJr_	4
30	TheSecondLord	4
30	noodlepack	4
30	Di_infiri	4
30	Frozil12	4
30	MakeHistory157	4
37	TheShyPig	3
37	fluddd	3
37	Blaiku	3
40	Mr_Byzantine	2
40	Mahoose	2
40	Hoid_the_Roamer	2
40	sebastiensaborio	2
44	Arceus1975	1
44	Vellu21	1
44	EcksD	1
44	TechnoNinja64	1
