rank	username	minecraft:mined/minecraft:andesite_stairs
1	EcksDofficial	671
2	TheShyPig	277
3	Meatlaugh	199
4	Mahoose	196
5	Legendosh	169
6	Lord_Jord	165
7	pintsizedrogue	136
8	Enderslayerxz3	110
9	500am	92
10	Lukeee33	74
11	Steelynan	70
12	Malorn_Aetherius	61
12	Cryptacity	61
12	TheSecondLord	61
15	soundad	48
15	diamondgolem35	48
17	DemTechAlpha	44
18	rarrq	43
18	ApophisNova	43
18	MyNamaSheff	43
21	Kakolbus	41
22	ImpavidArcher	39
23	Historical_Sand	34
24	Ezekson	32
25	Shiirazuku	30
25	EveryonesUncle	30
27	Onennon	27
28	Snowflowe	23
29	NotMeanttoChange	21
29	The_slideV3	21
31	kekhon	20
31	valkam13	20
33	Eraxa	19
34	Sleek_Storm_721	18
34	Blackberry1310	18
34	Di_infiri	18
34	ElectricDragon81	18
34	YungMaki	18
39	Ardennes	16
39	NotMeowMix	16
41	FishyBoy3811	15
42	m_be9	14
42	Jackattack53	14
44	Fullut	12
45	ShedJr_	11
45	himak1	11
45	CharlieButt	11
48	T045RTY	10
48	Alphanzt99	10
50	oreee	9
50	07shiny	9
50	annoyingenderman	9
50	CalebDHawk	9
54	joethahobo	8
54	Jiminie	8
54	Jamstroxian	8
54	ReyTheLegend	8
58	gcaisawesome	7
58	Deerfoot	7
58	Quotary	7
61	numbra	6
61	PegLegPete93	6
61	claivin	6
64	eitanzaki	5
64	Zythose	5
64	Maenara	5
64	tartanboy	5
64	Skippeh	5
64	anbbang	5
64	Smoke____	5
71	SteveCraftBlocks	4
71	GLLogan2	4
71	ElderRifken	4
71	Freak_Genius	4
71	Nycteus_	4
71	Spacewardharpy7	4
71	lcvezra	4
71	jnp_gaming	4
79	SaltineDream	3
79	Ailmast	3
79	Mariopreeet	3
79	xxPipperDipperxx	3
79	iTurbo	3
79	Sky_light_KING	3
79	ogoa	3
79	avalan64	3
79	LexMakesHistory	3
79	MakeHistory157	3
79	__tomato	3
90	SquadMonster	2
90	TinMaster	2
90	Kkanot	2
90	andy_rex	2
90	Akoot_	2
90	LibertyMutual	2
90	smogfrog	2
90	The_SlideV5	2
90	WYFYoyo	2
90	JayToe	2
100	Drlzyy	1
100	Merv__	1
100	livingdaydreams	1
100	ryan521	1
100	Natty	1
100	lotarp	1
100	SpaceGrenadier	1
100	tramizu	1
100	heckface	1
100	_Dean_123	1
100	Yuvl	1
100	burbankbuilder28	1
100	wTXop	1
100	Skylord_Luke	1
100	Myhym	1
100	KeruNatsema	1
100	TheTrueClipse	1
100	Deathkob	1
100	Karbl	1
100	MightyWertu	1
100	Blaiku	1
100	BumbleBeever	1
100	Chaotic1s	1
100	Kowcio_	1
100	EtherealEspresso	1
100	Sheldor097	1
100	YoshikageBites	1
