rank	username	minecraft:mined/minecraft:cyan_glazed_terracotta
1	DrowsyOracle	147
2	noam464	125
3	oscminus	90
4	Inbefour	68
5	eitanzaki	52
6	Yamdalorian	44
7	lordpipe	36
8	Lutres_	35
9	rarrq	34
10	hermmm_	25
11	ImpavidArcher	23
12	Mahoose	16
13	Spaghettatron	14
14	Merv__	8
14	Arceus1975	8
14	StinkyDiplomat	8
17	Di_infiri	6
17	Jackattack53	6
17	Soplight	6
20	Werbe	4
20	pixelviolin	4
20	Pumpkin_P_Patch	4
23	MattieHD	3
23	craaaash	3
23	Buuck_	3
26	QuiCreans	2
26	Enderxz3	2
28	Mr_Byzantine	1
28	Fullut	1
28	_witch_craft_	1
28	Hyp3rion_	1
28	ItsDeltaMC	1
28	MakeHistory157	1
28	Razzgriz	1
