rank	username	minecraft:mined/minecraft:dead_tube_coral_wall_fan
1	noam464	56
2	HellsSponge	39
3	joethahobo	31
4	thewindmillman	30
5	EcksD	11
6	Spacewardharpy7	9
7	mihimihimihi	5
8	Mythic1130	4
9	groofles	3
10	Jackattack53	2
10	Hyp3rion_	2
10	Onennon	2
10	FreddyFart	2
10	Smoke____	2
15	ImpavidArcher	1
15	Lez_	1
15	ROY4LE	1
15	CollinMH06	1
15	legal_tax_evader	1
15	PigDab	1
15	FreakGenius	1
15	SexcMf	1
15	PortlyPete69	1
15	PlasticOtari	1
