rank	username	minecraft:mined/minecraft:dead_horn_coral_fan
1	AlexxO_o	89
2	Di_infiri	60
3	12Magner05	39
4	Alteriity	32
4	Spacewardharpy7	32
6	Jackattack53	16
7	Mahoose	12
8	Blackberry1310	11
8	noam464	11
10	joethahobo	10
10	Fuad_R	10
12	ImpavidArcher	9
13	Kowcio_	7
14	pintsizedrogue	6
14	luseis	6
16	eitanzaki	4
16	XxCookiequeenxX	4
18	benediktine1	3
18	Onennon	3
18	PigDab	3
18	Factoroni	3
22	SmashingPump	2
22	bloodbiter	2
22	Hyp3rion_	2
22	FishisTTV	2
26	tuckerdoodle	1
26	Lez_	1
26	TheSecondLord	1
26	Winklepicker279	1
26	Rebytre	1
26	groofles	1
26	NameGenerat0r	1
26	Segotep999	1
