rank	username	minecraft:mined/minecraft:green_bed
1	Werbe	174
2	slkiey	38
3	Kim_Jong_eel	25
4	pintsizedrogue	16
4	Rebytre	16
6	Niklas20114552	15
6	RatatJuice	15
8	steppe_nomad	12
8	Tyrannosplart	12
10	benediktine1	11
10	jewbacaman	11
12	TheDankPlatypus	10
13	Yamdalorian	9
14	skroobiez	8
14	Eraxa	8
14	SvenskaHugo	8
17	SaucyDark	7
17	Mahoose	7
17	Vizzoid	7
17	audiocracked	7
17	BumbleBeever	7
22	skatch212	6
22	ActualPatbaf	6
22	kekhon	6
22	TheShyPig	6
22	WyngGoy	6
22	2blox_	6
28	Groovy_MoonBird	5
28	noam464	5
28	craaaash	5
28	MustardDrinker	5
28	FishyBoy3811	5
28	SingedBread	5
34	Mr_Byzantine	4
34	TheThomas69	4
34	lordsaladito	4
34	gcaisawesome	4
34	Di_infiri	4
34	WarMachina	4
34	luseis	4
34	The_slideV3	4
34	Twighst	4
34	wwwwinnebagoooo	4
34	miramyu	4
45	YATO202010	3
45	reddeeem	3
45	Merv__	3
45	teslawolf38	3
45	joethahobo	3
45	DBoydart303	3
45	beeperbeeper5	3
45	Kakolbus	3
45	Snowflowe	3
45	Krowuss	3
45	Hoid_the_Roamer	3
45	LordZacler	3
45	Bumpy419	3
45	fw3xy	3
45	Lord_Zacler	3
45	Manaateee	3
45	FreakGenius	3
45	Myntsys	3
45	Optiprimus	3
45	CACTUSLAD	3
45	jaimshae	3
45	Hisidae	3
45	Heisenbberrg	3
45	pk1297	3
45	Glumb0	3
45	Slapface522	3
45	little_dUki	3
45	Enderxz3	3
45	Legendosh	3
45	Serval2000	3
75	eitanzaki	2
75	T045RTY	2
75	heckface	2
75	Secret_Canary	2
75	eclipseboi	2
75	knarian	2
75	hayybails	2
75	DisgruntledKoala	2
75	TableTim	2
75	Zorin_Blitz	2
75	Ecplosive	2
75	yheece	2
75	thewindmillman	2
75	ese_wn_po	2
75	EveryonesUncle	2
75	The_Quack_Dealer	2
75	_Karmaa	2
75	Paul_Katan	2
75	Segotep999	2
75	TheBananaKat	2
75	Nicserso	2
75	Spaghettatron	2
97	Ilinca_Io	1
97	ImpavidArcher	1
97	livingdaydreams	1
97	_R_y__a_n_	1
97	AlazelTheReal	1
97	Hugi_79	1
97	IgnoredBee	1
97	Howertt	1
97	TheSecondLord	1
97	Studio4x32	1
97	NoraTheYandere	1
97	set67	1
97	thescout7	1
97	lorpus	1
97	Dali1465	1
97	eviltunix	1
97	mimbo1211	1
97	jandrs	1
97	Zythose	1
97	BubblyPrototype	1
97	PigDab	1
97	Shortest_	1
97	victorLIE	1
97	HolyVenom	1
97	timelyenigma	1
97	Cordicus	1
97	cajibt	1
97	DarlaMeow	1
97	HellsSponge	1
97	Avocadogerms	1
97	Blaiku	1
97	Toriankel	1
97	FiguraDei	1
97	IdeallyGrey	1
97	doublemaki	1
97	Soplight	1
97	Seindi	1
97	Dogcorn69420	1
97	MilleGrug	1
97	elliebelle107	1
97	Milaudis	1
