rank	username	minecraft:mined/minecraft:mangrove_slab
1	TheWickedBird	375
2	k_ce	272
3	crashomon	180
4	Olib3ar	129
5	Steelynan	86
6	Mr_Byzantine	67
7	skitzxo	39
8	pintsizedrogue	36
9	Kowcio_	32
10	Mahoose	29
11	SvenskaHugo	21
12	Soplight	14
13	12Magner05	11
13	Enderxz3	11
15	Roenfire	9
15	CalebDHawk	9
17	Kondzik2008	7
17	KamFurnace	7
19	TheKingK_	6
19	PlasticOtari	6
19	Yamdalorian	6
22	beeperbeeper5	5
23	PazinGaming	4
23	bl1ss0	4
25	Crizma_	3
25	CarryLine	3
27	Merv__	2
27	Jonafrog99	2
27	hanaryheatwave	2
30	Napoleonpancake	1
30	Sleepy_Time_	1
30	falcon244	1
30	OreTheBear	1
30	oscminus	1
30	XxCookiequeenxX	1
30	Pumpkin_P_Patch	1
