rank	username	minecraft:mined/minecraft:rail
1	pintsizedrogue	14636
2	HellsSponge	10388
3	Di_infiri	6536
4	noam464	5695
5	Smoke____	5121
6	eitanzaki	4915
7	mariominejedi	4406
8	Hyp3rion_	4170
9	EMC_	3915
10	Soplight	3317
11	joethahobo	3298
12	Spacewardharpy7	2974
13	PigDab	2826
14	Jiminie	2767
15	Freak_Genius	2742
16	TechnoNinja64	2676
17	TheShyPig	2329
18	Skylord_Luke	2307
19	Kakolbus	2216
20	thescout7	2213
21	Spenduh	2049
22	El_Jalapeno	2010
23	MightyWertu	1784
24	fffMike	1740
25	thewindmillman	1734
26	Snowflowe	1667
27	pixelviolin	1628
28	YungMaki	1495
29	beeperbeeper5	1463
30	_Virify_	1435
31	Chromary	1390
32	Merv__	1388
33	Historical_Sand	1378
34	Mahoose	1368
35	JESS_THE_RERE	1237
36	FishyBoy3811	1201
37	OfficerAnvil	1198
38	Frozil20	1152
39	Kim_Jong_eel	1132
40	T045RTY	1127
41	Jackattack53	1087
42	obzii	1085
43	07shiny	1083
43	oxfordschool	1083
45	Werbe	1035
46	Rumpletaezer	1032
47	q_wq	1017
48	Quincannon	1014
49	Ezekson	1013
50	djancak	1009
51	DanTheBuilderino	997
52	Enderslayerxz3	970
53	rarrq	933
53	Barlycorn	933
55	PlasticOtari	923
56	diamondgolem35	908
57	Racengan	900
57	SammiWolfGirl	900
59	EveryonesUncle	857
60	EngagedGrub41	830
61	PortlyPete69	824
62	Rebytre	821
63	MyNameIsJobo	776
64	StinkyDiplomat	771
65	prizm_	683
66	IAmTheWalrus910	678
67	Nycteus_	669
68	gcaisawesome	667
69	AuroraSkies	662
70	Comma__	659
71	Vetral1	647
72	DarlaMeow	638
73	Hiryu27	622
73	Blu3beast	622
75	Powowowow	603
76	wezzzi	601
77	MAns_44	593
78	CoffeeNoir	586
79	Akoot_	555
80	Franco093	546
81	ivorico	521
82	Ryker	520
83	Warlord324	518
84	DemTechAlpha	513
85	500am	511
86	Jimi7hits	501
87	ShedJr_	496
87	12Magner05	496
89	censorsheep	495
90	Sral7	494
91	Steelynan	491
92	RadarHz	486
93	PegLegPete93	485
94	dimondking777	475
95	killmeiamtraitor	470
95	anbbang	470
97	Kubelz	464
98	RoskobiOne	461
99	00000000-0000-0000-0009-01ff0c3e5e4f	460
100	sufjanlover	457
101	soundad	455
102	stuy9	443
103	Arceus1975	440
104	Blackberry1310	439
105	Hermanni__	435
106	Xclax101	429
107	Groundler	425
108	The_slideV3	424
109	Quotary	423
110	Mr_Byzantine	421
111	jnp_gaming	414
112	Lord_Jord	410
113	ProbsNotNova	405
114	TheSeismicDuck	398
115	m_be9	397
115	ProfessorBee	397
117	Bumpy419	395
118	Soul_Atreus	391
119	CharlieButt	372
120	RedcatVII	369
121	__tomato	367
122	EcksD	366
123	SUN_DREAM	363
124	BumbleBeever	362
125	PhantomsGhost_	357
126	stavgod	353
127	SellyZ	350
128	audiocracked	348
129	DolphinLaugh	342
130	Blaiku	340
131	Bolete	338
132	SuperPooch06	334
133	ayamefag	333
134	kekhon	330
135	Cowison	327
136	youhjjhhhjj	322
137	Fuad_R	319
138	emrekn	318
139	_Boipl_	317
140	Inbefour	313
141	FelixPSY375	307
142	RustyKedel	303
143	KlausVonStiglitz	295
144	Darkgon	276
145	RebelAndroid	266
145	mawileite	266
147	Hisiste	260
148	masskedman	259
149	eviltunix	257
150	Bandito_Roamer	254
151	Cyntrical	252
152	FirsTimeGamingTV	251
152	2blox	251
154	Skomo	250
154	_TCARREIRA_	250
156	MustaLoordi	249
157	sp00ky_ghost977	247
158	Sleepy_Time_	246
158	natajimi	246
160	slkiey	244
161	InfernalMound	236
162	NomadicRobin_	234
163	6king6colt6	232
164	Jovaphobic	229
164	vandmanden	229
166	DTwenty	228
167	EfficientC52	227
168	Ev0luti0nz	225
169	groofles	219
170	theonlymagikarp	218
170	andy_rex	218
172	AlexStrange	216
172	ReyTheLegend	216
174	Hanselhoof	215
175	non089	214
175	MilleGrug	214
177	The_SlideV5	208
178	MelodyGaysharks	206
179	Fullut	205
180	Deathkob	204
181	eiC_	200
182	SaucyDark	199
183	MusicMe1005	198
184	ApophisNova	191
184	MyNamaSheff	191
186	jacxhadow	188
187	Rasmanden	186
188	KingMatthew506	184
189	Jordan_R	181
190	FishisTTV	175
191	CoryJJ	171
192	Guillemet	169
193	Xalithia	168
194	CaptainDeadBread	164
195	Dedalus36	161
196	Awyrlas	160
196	Dusk_95	160
198	H72l9w	158
198	xxPipperDipperxx	158
200	CruncyIsTaken	156
200	GravitySaint	156
202	Eraxa	154
202	SpacesickPrism	154
202	Legendosh	154
205	kars0n	151
206	UrbanPlanner1978	146
207	Lowjinx	144
208	Flores991	143
208	TheOuterCore	143
210	RobotMinion101	140
211	ooga47	139
212	MattieHD	136
213	ImpavidArcher	135
213	NarwhalTaco	135
215	Ecplosive	134
216	Spaghettatron	132
217	PlzNoBM	131
218	_Nuf	128
219	bloodbiter	125
219	NormanFetus	125
221	TheSecondLord	124
221	TheDankPlatypus	124
223	Huwulling	123
223	MakeHistory157	123
225	faulder	122
226	ZeroAbyssTTV	120
227	jushykins	119
227	TheOnlyRake	119
229	brycepants	118
229	mihimihimihi	118
231	Bucscw24	116
232	hcb238	115
233	TerraVl	112
234	bigstankyy	110
234	Swalt	110
234	Teebone15	110
237	gabriels543	109
238	Swexti	108
238	Frxnkz	108
240	RodSerlingCringe	107
240	Charleszetoast	107
242	HoltGrim	105
242	NameGenerat0r	105
244	NotMeanttoChange	104
244	selectrix	104
244	Onennon	104
244	Factoroni	104
244	WyngGoy	104
249	Luigipunch989	100
250	MineMaster0012	98
251	SingedBread	97
252	2Stout	96
253	Zythose	94
254	awesomeoneme	93
255	Tolhart	91
256	mwrty	90
256	LitoDelvito	90
258	Hyugo	89
258	Ssor69	89
258	NebulousBadger	89
261	PncakeUniverse	87
262	teslawolf38	86
262	Skippeh	86
264	Nicky_H225	84
265	TheTrueClipse	82
265	Methalox1	82
265	MovingFish7	82
268	ThatMan_Dave	81
268	ItsDeltaMC	81
270	Wolf_Mauler_73	79
270	Jij0	79
272	maliraspberry	78
272	SkateboardR6	78
272	lordpipe	78
272	CACTUSLAD	78
276	_Bguette_	77
277	Slinkyy7071	75
277	ToxicHauntling	75
279	CrateOfBoxes	74
279	claivin	74
281	Menthas	72
281	ElderRifken	72
281	HesDemonPants	72
284	AltnumberF4	71
285	M_Patata	70
286	kiluaemc	67
286	BlankityMcBlank	67
286	Njensen7	67
289	Louiis123	66
289	Leyna3	66
291	MonitorLizards	65
291	MasterNueve	65
293	chrolus	64
293	ImDisconnected_	64
293	CalebDHawk	64
296	DermeinUser	63
296	Kowcio_	63
298	Testificate_517	61
299	Omar_Alone	60
300	Prismyst	59
