rank	username	minecraft:mined/minecraft:mossy_cobblestone_slab
1	luseis	232
2	pintsizedrogue	157
3	EveryonesUncle	129
4	500am	81
5	groofles	52
6	MyNameIsJobo	43
7	MyNameIsDakar	40
8	Legendosh	32
9	Sral7	28
10	Soplight	27
11	burbankbuilder28	25
11	PlasticOtari	25
13	Blackberry1310	21
14	Cryptacity	20
15	SuperPooch06	19
16	Eraxa	15
17	SaltineDream	12
17	BlancoFlaco	12
19	surfinggiraffejp	10
20	Enderxz3	9
20	Powowowow	9
22	diggydog67	8
23	Onennon	7
23	fkGrim	7
25	Tommhh	6
25	Mahoose	6
27	soundad	5
27	Merv__	5
27	Rebytre	5
27	_Tilariel_	5
31	EMC_	4
31	SquadMonster	4
31	Fullut	4
31	RobotMinion101	4
35	thewindmillman	3
35	killmeiamtraitor	3
35	Mattesco	3
35	PuFY	3
35	Maenara	3
35	Lord_Zacler	3
35	godipose	3
35	Smoke____	3
43	Frozil20	2
43	M_Patata	2
43	MasterNueve	2
43	Razzgriz	2
43	Kowcio_	2
43	jcool7	2
49	Groovy_MoonBird	1
49	KarlKaek	1
49	joethahobo	1
49	FirsTimeGamingTV	1
49	Notta	1
49	Smashic	1
49	set67	1
49	Marbz_	1
49	Arceus1975	1
49	Xclax101	1
