rank	username	minecraft:mined/minecraft:cherry_wall_hanging_sign
1	Lez_	40
2	skitzxo	9
3	RebytreGT	7
4	Legendosh	6
5	Hyp3rion_	3
5	StarCookiees_	3
7	OreTheBear	2
7	lordpipe	2
9	beeperbeeper5	1
9	Jackattack53	1
9	Mattesco	1
