rank	username	minecraft:mined/minecraft:smooth_stone_slab
1	Hyp3rion_	11185
2	thewindmillman	4646
3	HellsSponge	4606
4	MightyWertu	3927
5	EveryonesUncle	2993
6	joethahobo	2931
7	noam464	2222
8	El_Jalapeno	2186
9	TheShyPig	2090
10	Xclax101	1938
11	Winklepicker279	1633
12	AuroraValkyrie	1500
13	Frozil12	1479
14	Blackberry1310	1348
15	Mahoose	1313
16	DTwenty	1298
17	eitanzaki	1288
18	mwrty	1129
19	burbankbuilder28	1010
20	Kakolbus	933
21	ApophisNova	837
21	MyNamaSheff	837
23	Snowflowe	792
24	MyNameIsJobo	790
25	MattieHD	695
26	thescout7	691
27	Di_infiri	675
28	ImpavidArcher	674
29	m_be9	668
30	TechnoNinja64	658
31	rarrq	627
32	beeperbeeper5	623
33	Quotary	554
34	Enderslayerxz3	521
35	Steelynan	516
36	07shiny	510
37	SHAOBADMAN	455
38	Ezekson	442
39	Cowison	433
40	Nicserso	432
41	cog	410
42	RobotMinion101	398
43	Fuhrer_Teemo	382
44	Comma__	370
45	__Fanda__	358
46	Jackattack53	338
47	Lord_Jord	333
48	ZeroKraken	317
49	Merv__	309
50	T045RTY	301
51	Onennon	298
52	Tolhart	290
53	anbbang	277
54	Blaiku	272
55	MilleGrug	255
56	Wolverine4302	244
56	Smoke____	244
58	kekhon	242
59	Spacewardharpy7	237
60	_Karmaa	225
61	Reamdin	221
62	proxivitoid	215
63	sxc_	212
64	PigDab	202
64	pixelviolin	202
66	TheSeismicDuck	200
67	jacxhadow	196
68	Winston_Ingram	188
69	TheSecondLord	185
70	EcksD	184
71	AlphaWolfPlaysMC	183
72	titanlax	178
73	egglapras	173
74	500am	170
75	Akoot_	164
76	DemTechAlpha	163
77	RebelAndroid	159
78	CoffeeNoir	151
79	Scathra	150
80	Bumpy419	148
81	Eraxa	146
82	Legendosh	145
83	Eczbek	142
84	Barlycorn	141
85	Stiar	137
86	Lowjinx	134
87	Dogcorn69420	133
88	Soplight	132
89	lordpipe	130
90	Mr_Byzantine	129
91	JayToe	128
92	wezzzi	127
93	himak1	124
94	The11thDoctor	122
95	Incinere	120
96	Sleek_Storm_721	112
97	zylanzagreat	111
98	MovingFish7	110
99	TinMaster	109
99	Kynigito	109
101	DanTheBuilderino	102
101	lcvezra	102
103	Parcc	101
104	ssleepless	93
105	MakeHistory157	92
106	SaucyDark	91
106	gcaisawesome	91
108	Hoid_the_Roamer	89
109	6king6colt6	88
110	stellarjay	86
111	SteveCraftBlocks	83
112	Maenara	82
113	Dusk_95	81
114	LexMakesHistory	78
115	Werbe	77
116	CalebDHawk	76
117	wobn	75
117	SingedBread	75
117	PortlyPete69	75
120	The_slideV3	74
121	Malorn_Aetherius	73
122	NameGenerat0r	69
123	Patwannabegamer	68
124	_Nuf	67
125	ShedJr_	66
126	fluddd	64
127	sp00ky_ghost977	61
127	Sral7	61
129	Zaridey	59
130	shdesolt	58
131	_czarny	57
132	Hermanni__	56
132	alderban107	56
134	Groundler	54
135	Ze_BaronKrigler	53
135	PlasticOtari	53
137	Blu3beast	52
138	Racengan	50
139	2Stout	47
140	Deathkob	45
141	KG1999	44
142	oxfordschool	43
143	Groovy_MoonBird	42
143	Lumien_	42
145	bigstankyy	41
145	Spenduh	41
145	jnp_gaming	41
148	ewsophie	40
149	Myszoaz	38
150	PegLegPete93	37
150	SuperPooch06	37
152	Giannism	35
152	mobunni	35
154	Hyugo	34
154	Sheldor097	34
156	Megarboh	33
156	fred870d	33
158	RodSerlingCringe	31
158	The_Quack_Dealer	31
158	_3Stump_	31
161	ivorico	30
161	Mewar	30
161	XboxPanda	30
161	kars0n	30
161	Truckoss	30
166	Arceus1975	29
166	FishyBoy3811	29
166	SvenskaHugo	29
169	HyperCave	28
170	Optiprimus	26
171	pintsizedrogue	25
171	youhjjhhhjj	25
173	Motsaro	24
173	r123moore	24
173	Windo_licker	24
173	Drawgirll	24
173	VentiHilton	24
178	Natty	23
178	Skylord_Luke	23
180	livingdaydreams	22
180	CaptainDeadBread	22
180	Strangemonkey71	22
183	peach0s	21
183	shyshyannne	21
185	Ssor69	20
185	set67	20
187	Menthas	19
187	ChocolatePepsi	19
189	Sky_light_KING	18
190	jspwn	17
190	andy_rex	17
190	Fildyr	17
190	jcool7	17
194	teslawolf38	16
194	emrekn	16
194	loveseeker	16
194	Nyxiom_	16
194	SkateboardR6	16
199	KarlKaek	15
199	BlancoFlaco	15
199	WyngGoy	15
202	fanofbands101	14
