rank	username	minecraft:mined/minecraft:birch_trapdoor
1	TheDankPlatypus	583
2	Eczbek	392
3	MangoTheFish	391
4	PlzNoBM	315
5	Mahoose	295
6	HellsSponge	284
7	Kakolbus	271
8	PortlyPete69	142
9	EveryonesUncle	127
10	PlasticOtari	126
10	Smoke____	126
12	Soplight	121
13	Ezekson	112
14	kekhon	100
14	thewindmillman	100
16	ShedJr_	98
17	_Dean_123	92
18	Groundler	91
19	Di_infiri	84
19	Enderslayerxz3	84
21	Werbe	83
21	Rasmanden	83
23	sp00ky_ghost977	81
24	Merv__	75
25	pintsizedrogue	72
26	noam464	71
27	EMC_	65
27	loveseeker	65
29	beeperbeeper5	63
29	lordpipe	63
31	Swexti	62
31	Legendosh	62
33	El_Jalapeno	60
34	TheShyPig	58
35	tuckerdoodle	57
36	RebelAndroid	56
37	500am	43
37	diggydog67	43
39	SingedBread	42
39	Spacewardharpy7	42
41	joethahobo	41
41	Eraxa	41
43	Simon_Lowell	35
44	dopplexd	32
45	Myszoaz	29
46	YungMaki	28
46	UrbanPlanner1978	28
48	KarlKaek	27
49	Arceus1975	24
50	thescout7	23
50	Freak_Genius	23
52	Akoot_	22
53	PhantomsGhost_	21
53	ZeroKraken	21
53	Sral7	21
56	pixelviolin	20
57	Hoid_the_Roamer	19
58	Tommhh	18
58	LexMakesHistory	18
60	jimintyy	17
60	CoffeeNoir	17
60	rarrq	17
60	UncreativeArtist	17
60	ToastedGamingYT	17
60	07shiny	17
60	Kowcio_	17
60	LeeMcGee30	17
60	Steelynan	17
60	EcksDofficial	17
70	xxPipperDipperxx	16
70	MyNameIsJobo	16
70	SuperPooch06	16
73	6king6colt6	15
73	_Nuf	15
73	mwrty	15
73	Racengan	15
73	yatsuta	15
73	vandmanden	15
79	Snowflowe	14
79	SIRdrumroll	14
79	Deerfoot	14
79	bloomkieren	14
79	Zoeyfortnite	14
84	Cryptacity	13
84	MilleGrug	13
86	eitanzaki	12
86	Kkanot	12
86	LotusProject	12
86	Inbefour	12
86	stavgod	12
86	Spenduh	12
92	Dedalus36	11
92	eclipseboi	11
92	eviltunix	11
92	burbankbuilder28	11
92	ItsJunoIGuess	11
92	YoshikageBites	11
98	Blackberry1310	10
98	Katsuragi0243218	10
98	godipose	10
98	lcvezra	10
98	fffMike	10
98	Hermanni__	10
98	Powowowow	10
105	Iagoku	9
105	IAmTheWalrus910	9
107	ImpavidArcher	8
107	titanlax	8
107	XboxPanda	8
107	djancak	8
107	Yahrto	8
112	SaucyDark	7
112	SteveCraftBlocks	7
112	Zythose	7
112	KeruNatsema	7
112	Maenara	7
112	_Karmaa	7
112	GravitySaint	7
112	SvenskaHugo	7
112	Ir0npack	7
112	jcool7	7
112	oxfordschool	7
112	kinas45y5	7
124	_Virify_	6
124	TheSecondLord	6
124	himak1	6
124	DSYisDizzy	6
124	CarltheCuck	6
124	MonitorLizards	6
124	Deathkob	6
124	_Bguette_	6
132	Digcove	5
132	Malorn_Aetherius	5
132	ThePoliteG	5
132	TheThomas69	5
132	egglapras	5
132	r123moore	5
132	TheTrueClipse	5
132	Lord_Jord	5
132	Frozil12	5
132	BumbleBeever	5
132	ProfessorDiaper	5
132	__tomato	5
132	little_dUki	5
132	Jordan_R	5
146	soundad	4
146	Incinere	4
146	Wooptey	4
146	nocturne78	4
146	SoftSix	4
146	Fullut	4
146	smarticuno	4
146	mariominejedi	4
146	whoaluv	4
146	Rebytre	4
146	dezxalo	4
146	CACTUSLAD	4
146	alderban107	4
146	Kubeusz2010	4
146	mobunni	4
161	T045RTY	3
161	Otto_chan	3
161	gcaisawesome	3
161	ItzYaBoiPicard	3
161	M_Patata	3
161	Jackattack53	3
161	Rumpletaezer	3
161	dendydoom	3
161	Zielo2017PL	3
161	sxc_	3
161	NomadicRobin_	3
161	Jiminie	3
161	censorsheep	3
161	fluddd	3
161	Blaiku	3
161	MasterNueve	3
161	Shin69	3
161	ediballbearings	3
161	CalebDHawk	3
161	anbbang	3
161	EcksD	3
161	Nicserso	3
161	jnp_gaming	3
184	Hpdinosaur	2
184	HollieDaNugget	2
184	livingdaydreams	2
184	jacxhadow	2
184	emrekn	2
184	RustyKedel	2
184	__Fanda__	2
184	ChillenChiggen	2
184	bee_gorl	2
184	epiksk8erduck	2
184	wrinkledpiglet	2
184	Sky_light_KING	2
184	natajimi	2
184	AlexChristian	2
184	lillips	2
184	Quincannon	2
184	NameGenerat0r	2
184	Nycteus_	2
184	the__Reaper4999	2
184	LetsDoItLive	2
184	TheALV	2
184	_AAZAR	2
184	MelodyGaysharks	2
207	Krasnal1337	1
207	Groovy_MoonBird	1
207	Bandito_Roamer	1
207	hollowww	1
207	teslawolf38	1
207	I_Am_Mushkin	1
207	bigstankyy	1
207	Historical_Sand	1
207	gaziter10	1
207	Atroxes	1
207	Meme25327	1
207	Ssor69	1
207	OwenBrew	1
207	shdesolt	1
207	ProfessorBee	1
207	NotMeanttoChange	1
207	Tenns	1
207	Ithaca_GC	1
207	Chazama	1
207	CharlieButt	1
207	mads388a	1
207	phomic	1
207	CollinMH06	1
207	Hyp3rion_	1
207	HyperCave	1
207	xKhoshekh	1
207	PuFY	1
207	yulgur1	1
207	proxivitoid	1
207	The_slideV3	1
207	DanTheBuilderino	1
207	Barlycorn	1
207	Optiprimus	1
207	BlankityMcBlank	1
207	stahouo	1
207	y0shik	1
207	HAruSAme14	1
207	UltraZombie	1
207	_KuruKuru	1
207	cichy096	1
207	FelixPSY375	1
207	HesDemonPants	1
207	The_SlideV5	1
