rank	username	minecraft:mined/minecraft:cracked_deepslate_tiles
1	SvenskaHugo	384
2	TheBananaKat	275
3	Iamthejo	148
4	Manaateee	76
5	_Huge_Male_	28
6	mihimihimihi	25
7	Apollo_993	7
8	ECstardust	6
8	Wowful	6
10	k_ce	5
10	beeperbeeper5	5
12	pintsizedrogue	4
12	ImpavidArcher	4
14	DinoDoctor_	3
14	Mattesco	3
16	diamondgolem35	2
16	500am	2
16	Hahaa_0	2
16	luseis	2
20	H0UNDFRMH3LL	1
20	PazinGaming	1
20	Archsam	1
20	ITDV	1
20	Sleepy_Time_	1
20	TheSecondLord	1
20	noam464	1
20	Jackattack53	1
20	Snowflowe	1
20	Krowuss	1
20	ScootOfBoot	1
20	AlexxO_o	1
20	PaperCanvas	1
20	Kowcio_	1
20	YungMaki	1
20	Soplight	1
