rank	username	minecraft:mined/minecraft:wall_sign
1	sufjanlover	25
2	Russiancat1	24
3	OfficerAnvil	11
4	DigiBlox	7
4	stuy9	7
6	LilLizardWizard	5
7	SlowMoNinja1994	4
7	Setoply	4
7	popcanter	4
10	2xil2	2
10	Cidah	2
10	DAD_1996	2
10	Sheellky	2
10	grislgrobl	2
10	ProbsNotNova	2
10	Captain_Hardtak	2
17	Claw262	1
17	sonichugoddess	1
17	MrSSoaper	1
17	bbrothers4	1
17	GingerNeutron	1
17	girlfangs	1
17	NunWithAGun	1
17	qu1ntometry	1
17	tompup	1
17	5712	1
