rank	username	minecraft:mined/minecraft:brown_wall_banner
1	kekhon	41
2	TheShyPig	36
3	SammiWolfGirl	17
4	Lez_	14
5	Hermanni__	12
6	Chromary	11
6	Factoroni	11
8	luseis	10
9	ougstur	8
9	Ezekson	8
11	Smashic	7
11	Akoot_	7
11	EveryonesUncle	7
11	MS_Pryxx	7
11	ConnorDanky_	7
16	Cryptacity	6
16	Reneedium	6
16	Avocadogerms	6
19	4774	4
20	beeperbeeper5	3
20	500am	3
20	HairballHacker10	3
20	Myntsys	3
20	Optiprimus	3
20	YungMaki	3
20	momis24	3
27	pintsizedrogue	2
27	fanofbands101	2
27	RebelAndroid	2
27	Mahoose	2
27	DarkFisto	2
27	noam464	2
27	TheDankPlatypus	2
27	Jimb0nat0r	2
27	JayToe	2
36	Merv__	1
36	LionelHutzESQ	1
36	KomputerDude	1
36	jessewegottacook	1
36	bloodbiter	1
36	12Magner05	1
36	corvidpartyfor6	1
36	Fullut	1
36	mimbo1211	1
36	Xclax101	1
36	Kowcio_	1
36	JasmineGK	1
