rank	username	minecraft:mined/minecraft:weathered_copper
1	Marbz_	366
2	Kowcio_	112
3	Mr_Byzantine	103
4	Manaateee	66
5	pintsizedrogue	61
6	bearlystraight	51
7	luseis	41
8	TheBananaKat	40
9	Nicserso	18
10	Kakolbus	17
10	sp00ky_ghost977	17
10	PlasticOtari	17
13	_Huge_Male_	16
14	weabis	15
15	Apollo_993	10
15	jessewegottacook	10
15	500am	10
18	iSammael	9
18	MineMaster0012	9
20	AdmiralSmoke	8
21	mihimihimihi	7
21	YungMaki	7
23	EMC_	6
24	ZoomieZoomie	5
24	Enderxz3	5
26	shrimp_flips	4
27	drunkeeez	2
27	FormulaNewt3627	2
27	Jimb0nat0r	2
30	Groovy_MoonBird	1
30	SmashingPump	1
30	joethahobo	1
30	TheWildMateo	1
30	Mattesco	1
30	Mr_Sun15	1
30	PaperCanvas	1
30	SpacesickPrism	1
30	MNMann44	1
30	mobunni	1
