rank	username	minecraft:mined/minecraft:large_amethyst_bud
1	thewindmillman	382
2	Mahoose	255
3	corvidpartyfor6	151
4	TheSecondLord	97
5	pintsizedrogue	89
6	SpacesickPrism	80
7	noam464	59
8	Apollo_993	49
9	lordpipe	48
9	Enderxz3	48
11	Jimb0nat0r	38
12	Hyp3rion_	30
12	Pumpkin_P_Patch	30
14	luseis	27
15	RebelAndroid	22
15	Kakolbus	22
17	Frozil20	20
18	k_ce	19
18	Mattesco	19
18	PaperCanvas	19
21	robonya_	18
22	Alteriity	15
22	12Magner05	15
24	Flores991	14
24	Kowcio_	14
26	diamondgolem35	13
26	_witch_craft_	13
28	RatatJuice	12
28	Solar_Power	12
28	Yamdalorian	12
31	ApophisNova	11
31	MyNamaSheff	11
33	j5ylim	10
33	Lez_	10
33	Smashic	10
33	XxCookiequeenxX	10
33	Manaateee	10
33	MAns_44	10
33	doublemaki	10
33	Steelynan	10
41	500am	8
41	hanaryheatwave	8
43	JETrotter	7
43	SingedBread	7
43	pixelviolin	7
43	Spenduh	7
47	beeperbeeper5	6
47	Marbz_	6
47	SuperPooch06	6
47	PigDab	6
51	QuiCreans	5
51	_Nat666	5
51	MattieHD	5
51	Legendosh	5
51	WYFYoyo	5
56	eitanzaki	4
56	Miroryk	4
56	Tersea_	4
56	Nach0Bear	4
56	Fullbit_	4
56	Nadhorion	4
56	albus0x	4
56	Dan_Scha	4
56	wwwwinnebagoooo	4
56	SvenskaHugo	4
56	youarefrench_	4
56	PlasticOtari	4
68	ECstardust	3
68	gren_ben	3
68	Ryker	3
68	SOA1RR	3
68	TAKrules	3
68	MSK__	3
68	Sleepy_Evelyn	3
68	Xalithia	3
68	Kubelz	3
68	Winklepicker279	3
68	Snowflowe	3
68	Werbe	3
68	groofles	3
68	emreknugrlu	3
68	Eraxa	3
68	bungalowbeet	3
68	CalvinCandie17	3
68	Trioxide	3
68	FormulaNewt3627	3
68	11Brewer	3
88	CLG_Kata	2
88	_Huge_Male_	2
88	BPTY4618	2
88	Koffeeinz	2
88	Crowman1	2
88	Auseawesome	2
88	xPixelRainx	2
88	TerraVl	2
88	DabKeepaBlicky	2
88	ZeroAbyssTTV	2
88	Di_infiri	2
88	JitteryJared2	2
88	dartwaffle	2
88	H_O_M_H	2
88	AuroraSkies	2
88	kalzor	2
88	cuddlyMonster	2
88	starbits140	2
88	MilleGrug	2
88	Nicserso	2
88	TheWickedBird	2
109	xvphmura	1
109	Lorcout	1
109	Mr_Byzantine	1
109	Frigzy_	1
109	_stets	1
109	Adem192	1
109	robertsnose	1
109	q_wq	1
109	mymayowasgone	1
109	Killercatty78	1
109	tuckerdoodle	1
109	nattybears	1
109	SyntheticSurgeon	1
109	Huwulling	1
109	ShedJr_	1
109	gabukun_	1
109	Crizma_	1
109	philandr	1
109	KGTV	1
109	LeauVox4921	1
109	danotz	1
109	Touched_Bread	1
109	smarticuno	1
109	prizm_	1
109	craaaash	1
109	CollinMH06	1
109	Itz_DuongVN	1
109	Jackattack53	1
109	milltesco	1
109	U_Mos_	1
109	Boipl	1
109	thebaddruid	1
109	Galactic_Badger	1
109	Rebytre	1
109	Jekyll	1
109	Sophia_Irene	1
109	ScootOfBoot	1
109	SpaggeDR	1
109	AlexxO_o	1
109	Samificator	1
109	EdGalbraith	1
109	Fuad_R	1
109	Gus2005	1
109	Yahir091	1
109	TheRealAndrin	1
109	Synthoum	1
109	ItsDeltaMC	1
109	StarCookiees_	1
109	Thunder_bird4337	1
109	DracZz	1
109	TheKingK_	1
109	MC_Skribble	1
109	LeEricc	1
109	infiniteQuery	1
109	Sheldor097	1
109	Njensen7	1
109	ZoomieZoomie	1
109	TheOuterCore	1
109	TheBananaKat	1
109	Ezekson	1
109	EcksD	1
109	DairyNickel756	1
109	LuvLuvLove	1
109	00000000-0000-0000-0009-01ff0c3e5e4f	1
