rank	username	minecraft:mined/minecraft:polished_blackstone_stairs
1	Mattesco	883
2	EveryonesUncle	880
3	TheSecondLord	396
4	Manaateee	389
5	Lord_Jord	299
6	Lez_	294
7	burbankbuilder28	242
8	rarrq	240
9	500am	228
10	PlasticOtari	218
11	FreakGenius	201
12	Solar_Power	197
13	Creativebuilder2	196
14	Hyp3rion_	178
15	k_ce	169
16	beeperbeeper5	145
17	Lutres_	134
18	Legendosh	120
19	Nycteus_	98
20	Jimb0nat0r	89
21	noam464	76
22	luseis	75
23	SmashingPump	71
23	Mahoose	71
25	teslawolf38	68
26	Optiprimus	59
27	pintsizedrogue	57
28	Racengan	56
29	SkateboardR6	52
30	Biites	47
31	UCP_TheKingK	44
32	diamondgolem35	40
32	NameGenerat0r	40
34	set67	35
35	r123moore	34
36	Minimize501	31
36	lillips	31
38	bloodbiter	29
39	Rebytre	28
40	Blackberry1310	27
41	FishyBoy3811	25
42	ITDV	24
43	Cowison	23
43	ImpavidArcher	23
43	kekhon	23
43	Spacewardharpy7	23
47	Deathkob	22
48	eitanzaki	21
48	CalebDHawk	21
50	Kowcio_	19
50	SkinnyBois	19
52	Huwulling	18
52	joethahobo	18
52	Jackattack53	18
52	TheShyPig	18
56	lordpipe	17
57	Spenduh	16
58	Mr_Byzantine	14
58	Jakobo1337	14
58	4774	14
58	xxPipperDipperxx	14
58	Elastiq	14
63	hanaryheatwave	11
63	PigDab	11
65	weabis	10
65	YungMaki	10
65	anbbang	10
68	BobDeBouwer1337	9
68	Fullut	9
70	PazinGaming	8
70	livingdaydreams	8
72	Alteriity	7
72	NieToksikpl	7
74	T045RTY	6
74	Snowflowe	6
74	bearlystraight	6
74	Druid95	6
78	ShedJr_	5
78	drunkeeez	5
78	ScootOfBoot	5
81	Gundam_Steven	4
81	Arceus1975	4
81	fffMike	4
84	_Huge_Male_	3
84	Ryan_GEMS	3
84	SteveCraftBlocks	3
84	Smashic	3
84	XboxPanda	3
84	ApophisNova	3
84	Shogunite	3
84	TheTommyGun63	3
84	Eraxa	3
84	_Mythic____	3
84	MyNamaSheff	3
84	Enderxz3	3
84	AdmiralSmoke	3
97	catandmoose	2
97	himak1	2
97	BartekB19	2
97	MineMaster0012	2
97	Eczbek	2
102	ECstardust	1
102	Frozil20	1
102	titanlax	1
102	ROY4LE	1
102	fReE_bAtWiNg	1
102	Di_infiri	1
102	Cordicus	1
102	Sorry_Arey	1
102	Fuad_R	1
102	MAns_44	1
102	Winston_Ingram	1
102	EcksD	1
102	jnp_gaming	1
