rank	username	minecraft:mined/minecraft:purpur_slab
1	Smoke____	784
2	Bandito_Roamer	321
2	YungMaki	321
4	33sudo	305
5	m_be9	304
6	PigDab	257
7	eiC_	235
8	beeperbeeper5	220
9	masskedman	186
10	MightyWertu	163
11	lizardfightclub	149
12	yulgur1	145
13	PhantomsGhost_	127
14	stahouo	90
15	Mewar	87
16	6king6colt6	83
17	Ecplosive	82
18	fkGrim	77
18	Spacewardharpy7	77
20	Blaiku	69
21	500am	64
21	Covalents	64
21	Freak_Genius	64
24	mwrty	61
24	NameGenerat0r	61
26	Comma__	59
27	Blu3beast	58
28	Frozil12	50
29	Di_infiri	49
30	thescout7	48
31	Werbe	45
32	TheSecondLord	42
33	HellsSponge	41
34	Historical_Sand	38
35	AuroraValkyrie	37
36	bigstankyy	35
36	Fullut	35
38	Dogcorn69420	34
39	Rich_Kat	27
39	noam464	27
41	Awyrlas	26
41	gcaisawesome	26
41	Winston_Ingram	26
44	Iagoku	25
44	TooManyDuck	25
44	Sral7	25
47	Inbefour	24
47	Enderslayerxz3	24
49	Maenara	23
49	OG_Songsee	23
51	surfinggiraffejp	20
51	audiocracked	20
51	lcvezra	20
51	jnp_gaming	20
55	kinas45y5	19
56	fred870d	18
57	ROY4LE	16
57	gabriels543	16
57	Jackattack53	16
57	Hermanni__	16
57	laron58	16
62	ProfessorBee	15
62	crying_wolf_13	15
62	Bumpy419	15
62	TheSeismicDuck	15
62	EveryonesUncle	15
67	lordpipe	14
67	Ezekson	14
69	claivin	13
70	eitanzaki	12
70	loveseeker	12
70	Rumpletaezer	12
70	Warlord324	12
70	brofrickcheaters	12
70	Nicserso	12
76	Dedalus36	11
76	Hisiste	11
76	__tomato	11
76	JayToe	11
80	IronArshXS	10
80	MyNameIsJobo	10
80	TheShyPig	10
80	Nycteus_	10
80	Racengan	10
80	SingedBread	10
80	Skippeh	10
87	BodaciousCake	9
87	Snowflowe	9
87	Zythose	9
87	AuroraSkies	9
87	Deodorante	9
87	vandmanden	9
93	MinttyFressh	8
93	himak1	8
93	Razzgriz	8
93	MilleGrug	8
93	AltnumberF4	8
98	RebelAndroid	7
98	Afinnity	7
98	Onennon	7
98	Shogunite	7
98	MustaLoordi	7
98	Xclax101	7
98	Groundler	7
98	Jij0	7
98	striker90333	7
107	SaucyDark	6
107	T045RTY	6
107	set67	6
107	Zaridey	6
107	thewindmillman	6
107	Ender_Souls	6
107	NotMeowMix	6
107	TheEnderman548	6
107	Segotep999	6
107	_TCARREIRA_	6
117	Ailmast	5
117	awesomeoneme	5
117	shyshyannne	5
117	Inchef	5
117	RobotMinion101	5
117	Akoot_	5
117	ItsJWolff	5
117	EcksD	5
125	ssleepless	4
125	Noah_Bez	4
125	IronyMan69	4
125	Barlycorn	4
125	Kijiki	4
125	SammiWolfGirl	4
125	tartanboy	4
125	FelixPSY375	4
133	pintsizedrogue	3
133	Houstonion	3
133	_Razar	3
133	Myszoaz	3
133	Swexti	3
133	12Magner05	3
133	SellyZ	3
133	__TheNorseMan__	3
133	theonlymagikarp	3
133	r123moore	3
133	CollinMH06	3
133	Donutt	3
133	_naturell	3
133	NomadicRobin_	3
133	Lutres_Torane	3
133	chipklip	3
133	geekbird	3
133	Kowcio_	3
133	HesDemonPants	3
133	UrbanPlanner1978	3
133	EcksDofficial	3
154	Lepthymo	2
154	Barry_All3n_	2
154	livingdaydreams	2
154	SpaceGrenadier	2
154	joethahobo	2
154	rarrq	2
154	Euclidoris	2
154	Nicky_H225	2
154	kekhon	2
154	zorin123	2
154	Tjhodskins19	2
154	XboxPanda	2
154	domagawha	2
154	FishyBoy3811	2
154	TheTrueClipse	2
154	fw3xywashere	2
154	YungWali	2
154	Quaintster	2
154	fluddd	2
154	_k2x	2
154	SkateboardR6	2
154	Dusk_95	2
154	Cocoamallows	2
154	ElectricDragon81	2
154	stavgod	2
154	Strangemonkey71	2
154	SvenskaHugo	2
154	PortlyPete69	2
154	CalebDHawk	2
154	Physics_Breaker	2
154	Powowowow	2
154	2blox	2
154	TechnoNinja64	2
154	FishisTTV	2
188	Gary_	1
188	Groovy_MoonBird	1
188	Drlzyy	1
188	Merv__	1
188	Hpdinosaur	1
188	SailiXX	1
188	WarHammer3	1
188	Mahoose	1
188	Da_Boss_Rani	1
188	chlorinex	1
188	Mercadies	1
188	titanlax	1
188	SteveCraftBlocks	1
188	CyrusIsTired	1
188	Motsaro	1
188	SeverianTheLame	1
188	mariominejedi	1
188	Avermu	1
188	Hyp3rion_	1
188	pappaberg	1
188	ApophisNova	1
188	seramalen	1
188	ToastedGamingYT	1
188	DScatgirls	1
188	Rasmanden	1
188	_Bguette_	1
188	Katthaj	1
188	DarlaMeow	1
188	1442	1
188	_Karmaa	1
188	Quincannon	1
188	MAns_44	1
188	BumbleBeever	1
188	MovingFish7	1
188	TheDumbHuman	1
188	WyngGoy	1
188	Ze_BaronKrigler	1
188	Eraxa	1
188	Kyrum2169	1
188	Luigipunch989	1
188	Kferno	1
188	Steelynan	1
188	MissCeleste7	1
188	Aryamanee	1
188	Quotary	1
188	MyNamaSheff	1
188	PlasticOtari	1
