rank	username	minecraft:mined/minecraft:copper_ore
1	pintsizedrogue	7360
2	gcaisawesome	5217
3	PlasticOtari	4109
4	thewindmillman	3898
5	Enderslayerxz3	3851
6	Marbz_	2203
7	EMC_	1469
8	500am	1443
8	pixelviolin	1443
10	sebastiensaborio	1151
11	Ezekson	1075
12	Spacewardharpy7	1032
13	TheSecondLord	886
14	Smoke____	869
15	Hyp3rion_	850
16	MilleGrug	771
17	Flores991	619
18	MinttyFressh	618
19	yulgur1	513
20	beeperbeeper5	493
21	Mahoose	487
22	SingedBread	399
23	Kowcio_	378
24	EveryonesUncle	309
25	SvenskaHugo	276
26	Jackattack53	273
27	RebelAndroid	267
28	Winklepicker279	266
28	Soplight	266
30	SuperPooch06	258
31	Kakolbus	248
32	ApophisNova	209
32	MyNamaSheff	209
34	Toriankel	208
35	12Magner05	195
36	underscore_2	190
37	Enigma0251	187
38	Merv__	164
39	Kubelz	158
40	Khelvoryk	140
41	YungMaki	124
42	Lord_Zacler	122
43	Ithaca_GC	121
43	Hermanni__	121
45	MSK__	110
45	WYFYoyo	110
47	AltnumberF4	109
48	sp00ky_ghost977	108
49	mobunni	104
50	Freak_Genius	101
51	Lumien_	96
52	kyouma777	94
53	MAns_44	93
54	Vegvisir	92
55	Valoth	90
56	Hylo482y	80
56	Legendosh	80
58	IdeallyGrey	78
59	eitanzaki	74
59	TheDankPlatypus	74
61	Nycteus_	68
62	Quotary	67
63	Inchef	65
63	_Boipl_	65
65	Steven1282598	64
66	Megarboh	62
66	Joestra	62
68	Myszoaz	61
69	GlitchyPlate810	59
70	ImpavidArcher	58
70	Base_Tempest	58
72	Billious	57
73	LitoDelvito	55
74	Jiminie	53
75	BronkerBrum	52
76	xPixelRainx	48
77	noam464	46
77	verynothing	46
79	PigDab	45
80	NomadicRobin_	44
81	RadarHz	43
82	Frozil12	41
83	diamondgolem35	40
83	jcool7	40
85	Deathkob	37
85	Aryamanee	37
87	Toasty_Tom	36
88	Ze_BaronKrigler	35
89	_Razar	34
90	rachcl	33
90	KaptainKornhole	33
90	lizardfightclub	33
93	hcb238	32
94	breadbowlgamer	30
94	Rebytre	30
96	_stets	29
96	_Karmaa	29
96	starbits140	29
99	Xalithia	28
99	Yahir091	28
101	orxngejuice	27
101	lordpipe	27
103	q_wq	26
103	ChampPog_	26
103	_Dri_	26
106	Weepingbiel	24
107	Mattesco	23
108	hm947	22
109	rarrq	20
109	fffMike	20
111	SquadMonster	19
112	Rocco_Lane	18
113	Begformurrcy	17
113	CharlieButt	17
115	benediktine1	16
115	Sheldor097	16
115	TheALV	16
118	Skylord_Luke	15
119	Lord_Jord	13
119	Bonzaidalek	13
119	Spenduh	13
122	CoffeeNoir	11
123	SpaggeDR	10
123	KeruNatsema	10
123	MyNameIsDakar	10
123	2blox	10
127	CollinMH06	9
127	Hail_the_wombat	9
129	Drlzyy	8
129	Arceus1975	8
129	OtariCharlie	8
129	Lutres_Torane	8
133	DarkS0L	7
133	EcksD	7
135	soundad	6
135	4383	6
135	TheOuterCore	6
135	Miko_Fullbuster	6
139	PhantomBionic	5
140	_Dean_123	4
140	smogfrog	4
142	KarlKaek	3
142	TAKrules	3
142	HolyVenom	3
145	neurotic_a	2
145	Chickenchaser2	2
147	_NieToksikpl_	1
147	strongman951753	1
147	The_Fulgurator	1
147	Jonte0599	1
147	Not_Insom	1
147	Racengan	1
147	DolphinLaugh	1
147	alderban107	1
147	Xi_J1nping	1
147	trexgb	1
