rank	username	minecraft:mined/minecraft:quartz_block
1	Di_infiri	6968
2	himak1	2635
3	Smoke____	1932
4	joethahobo	1867
5	Freak_Genius	1559
6	Winklepicker279	1367
7	Whiterooster001	1296
8	Lord_Jord	1245
9	HellsSponge	951
10	Xclax101	925
11	chipklip	915
12	Truckoss	889
13	NinjaKnifeKill	884
14	m_be9	872
15	mwrty	854
16	Skylord_Luke	820
17	_Karmaa	806
18	Groundler	775
19	PlasticOtari	746
20	cedric72	740
21	beeperbeeper5	685
22	500am	657
23	Rumpletaezer	618
24	lordpipe	553
25	AJplaysMC_	538
26	thewindmillman	535
27	CoffeeNoir	482
28	Spenduh	480
29	Hermanni__	453
30	SaucyDark	440
31	MilleGrug	400
32	pintsizedrogue	377
32	RebelAndroid	377
34	Sral7	368
35	Optiprimus	353
36	KarlKaek	352
37	EcksDofficial	346
38	TheShyPig	337
39	XboxPanda	336
40	Blackberry1310	319
41	ProfessorBee	315
42	Kouridragon	312
43	The_slideV3	307
44	fffMike	306
45	Merv__	295
46	ImpavidArcher	292
47	DarlaMeow	290
48	Comma__	279
48	Inbefour	279
50	oxfordschool	278
51	nocturne78	274
52	JEWISHBadenBeele	267
53	xxPipperDipperxx	258
54	eitanzaki	246
55	stahouo	244
56	kekhon	230
57	Strangemonkey71	219
58	Soplight	205
59	CliffEmAll	197
60	DebbieBrunswick	196
60	jnp_gaming	196
62	SexcMf	195
63	Smashic	192
64	alderban107	191
65	Mahoose	189
65	Marbz_	189
67	Ezekson	188
68	EveryonesUncle	185
69	Wooptey	171
70	Blaiku	170
71	noam464	169
72	marumochis	168
73	thescout7	165
74	teslawolf38	163
75	Snowflowe	162
76	Legendosh	154
77	sp00ky_ghost977	152
78	Barlycorn	148
78	trexgb	148
80	RobotMinion101	145
81	Syropatathe	144
82	PigDab	142
83	set67	136
83	Frozil12	136
85	Nycteus_	134
86	zylanzagreat	128
87	The_SlideV5	126
88	Zaridey	125
89	Akoot_	121
90	rarrq	119
91	Eraxa	109
92	Factoroni	107
92	SSytex_X	107
92	SammiWolfGirl	107
95	Menthas	101
96	kinas45y5	97
97	Reamdin	96
98	Jackster03	93
99	El_Jalapeno	91
100	Groovy_MoonBird	89
101	claivin	84
102	KliBeast21	81
103	Rasmanden	80
103	Blamphe	80
105	Incinere	79
106	KnightmareD	78
107	fw3xywashere	77
108	fallingemma	74
109	Froste131	73
109	UltraZombie	73
111	Blu3beast	70
112	Cowison	68
113	noodlepack	67
114	_Boipl_	65
115	Sheldor097	64
116	Leyna3	62
117	MightyWertu	60
117	Razzgriz	60
119	Bazongoman	57
119	SuperPooch06	57
121	Spacewardharpy7	56
122	MeetTheWollo	54
123	StinkyDiplomat	51
124	FishyBoy3811	48
125	fade_emerge78823	45
125	tsitrawhy	45
127	Jovaphobic	43
127	Skippeh	43
129	_Nuf	41
129	Nicserso	41
131	Cortexia	40
132	Arceus1975	39
133	2blox	38
134	jimintyy	37
134	Awyrlas	37
134	emrekn	37
134	Inchef	37
134	ROY4LE	37
134	gabriels543	37
134	EcksD	37
141	BlankityMcBlank	36
142	dopplexd	34
142	MakeHistory157	34
144	MyNameIsDakar	32
145	CharlieButt	30
145	epiksk8erduck	30
145	YungMaki	30
148	Mewar	29
148	__tomato	29
148	Zoeyfortnite	29
151	Maenara	28
152	Hyp3rion_	27
153	Bumpy419	26
153	fkGrim	26
153	bloomkieren	26
156	NameGenerat0r	25
156	FelixPSY375	25
158	fluddd	24
159	wobn	23
160	Swexti	22
160	Rebytre	22
160	TechnoNinja64	22
163	Fullut	21
164	SquadMonster	20
164	Ssor69	20
164	RohnJosin	20
167	TheSecondLord	19
167	burbankbuilder28	19
167	Werbe	19
167	Enderslayerxz3	19
171	MSK__	18
171	Steelynan	18
171	TheOuterCore	18
174	Bandito_Roamer	17
175	titanlax	16
175	wwwwinnebagoooo	16
175	WyngGoy	16
175	Yahrto	16
179	ShedJr_	15
179	MyNameIsJobo	15
179	Lutres_Torane	15
179	KingMatthew506	15
183	erkada	14
184	ratglock	13
184	MattieHD	13
184	BlueZabu	13
184	Typadopoulos	13
184	lcvezra	13
189	T045RTY	12
189	NieToksikpl	12
189	Xalithia	12
189	smarticuno	12
189	CrateOfBoxes	12
189	ApophisNova	12
189	XxCookiequeenxX	12
189	Nagasaki_Riku	12
189	microcrisp	12
189	MyNamaSheff	12
199	Batman922	11
199	Drewen24	11
199	MovingFish7	11
199	jcool7	11
199	JayToe	11
204	2Stout	10
204	Jackattack53	10
204	selectrix	10
204	ooga47	10
204	Karbl	10
204	obzii	10
210	Hpdinosaur	9
210	bloodbiter	9
210	Hiryu27	9
210	Quincannon	9
210	MAns_44	9
210	Kyrum2169	9
216	Historical_Sand	8
216	FetteMutter	8
216	killmeiamtraitor	8
216	NomadicRobin_	8
216	Deathkob	8
216	TheTommyGun63	8
216	Deguns123	8
216	RadarHz	8
216	AltnumberF4	8
216	Northernrabbit	8
226	I_Am_Mushkin	7
226	eclipseboi	7
226	audiocracked	7
226	Jiminie	7
230	soundad	6
230	ColeSnyder	6
230	Moofyman	6
230	dartwaffle	6
230	dezxalo	6
230	RodSerlingCringe	6
230	_Bguette_	6
230	lillips	6
230	EfficientC52	6
239	andy_rex	5
239	yulgur1	5
239	SlinkyPinky	5
239	GlitchyPlate810	5
239	Quotary	5
244	Healthing	4
244	Natty	4
244	Myszoaz	4
244	ManlyAdjective	4
244	_Dean_123	4
244	Ecplosive	4
244	Billious	4
244	fred870d	4
244	lizardfightclub	4
244	KlausVonStiglitz	4
244	ProfessorDiaper	4
244	Kowcio_	4
244	00000000-0000-0000-0009-01ff0c3e5e4f	4
257	PhantomsGhost_	3
257	EMC_	3
257	bigstankyy	3
257	Sabby65	3
257	xPixelRainx	3
257	MrExplorer	3
257	NotMeanttoChange	3
257	theonlymagikarp	3
257	mariominejedi	3
257	Zinkacide	3
257	Hisiste	3
257	mobunni	3
257	diggydog67	3
270	Krasnal1337	2
270	HBA00_	2
270	Lukeee33	2
270	Malorn_Aetherius	2
270	shdesolt	2
270	pr33tu	2
270	slkiey	2
270	Kamflame10	2
270	GLLogan2	2
270	intropass	2
270	Diavri	2
270	Avrelion	2
270	fr_ser	2
270	Invisie	2
270	thgrocks	2
270	CJPerson	2
270	BumbleBeever	2
270	__Auspicious	2
270	OG_Songsee	2
270	TheEnderman548	2
270	Zetsey	2
270	Professor_x8	2
270	Luigipunch989	2
270	Dreamdbr14	2
270	88Hazza88	2
270	anbbang	2
270	FGamerJ	2
270	sea_otter_h	2
298	TheBiggestFeller	1
298	error10101	1
298	ssleepless	1
