rank	username	minecraft:mined/minecraft:chest
283	IvarEXE	58
290	Flores991	57
290	ivorico	57
290	claivin	57
293	jimbo61101jr	56
293	surfinggiraffejp	56
293	KartivGal	56
293	LexMakesHistory	56
293	layabout100	56
293	jcool7	56
299	CrateOfBoxes	55
299	KeruNatsema	55
