rank	username	minecraft:mined/minecraft:horn_coral_fan
1	thewindmillman	342
2	Kouridragon	134
3	Di_infiri	119
4	Legendosh	73
5	ImpavidArcher	48
6	TheShyPig	40
7	Hyp3rion_	36
8	pintsizedrogue	33
9	12Magner05	29
9	500am	29
11	Inbefour	19
12	Mahoose	18
13	Fullut	17
14	_Dean_123	16
15	Blackberry1310	15
16	RoskobiOne	14
16	ApophisNova	14
16	MyNamaSheff	14
19	beeperbeeper5	13
20	Vetral1	12
21	AuroraValkyrie	11
21	lordpipe	11
23	eitanzaki	10
23	Mewar	10
23	Xalithia	10
23	Spacewardharpy7	10
23	YungMaki	10
23	__tomato	10
29	Merv__	9
29	Onennon	9
31	Bumpy419	8
31	HellsSponge	8
33	Marbz_	7
33	Rebytre	7
33	Blu3beast	7
33	KingMatthew506	7
33	Sral7	7
38	Bandito_Roamer	6
38	livingdaydreams	6
38	noam464	6
38	burbankbuilder28	6
38	XxCookiequeenxX	6
38	Enderslayerxz3	6
44	titanlax	5
44	bloodbiter	5
44	kekhon	5
44	Jackattack53	5
44	SuperPooch06	5
44	Maenara	5
44	NameGenerat0r	5
44	Xclax101	5
44	mihimihimihi	5
44	IdeallyGrey	5
44	EcksD	5
44	TechnoNinja64	5
56	Drlzyy	4
56	RobotMinion101	4
56	TheSeismicDuck	4
56	Factoroni	4
56	Nagasaki_Riku	4
56	djancak	4
56	Luigipunch989	4
63	SaucyDark	3
63	Prismyst	3
63	ShedJr_	3
63	TheSecondLord	3
63	eiC_	3
63	Voxin2K	3
63	fred870d	3
63	Jiminie	3
63	1442	3
63	Freak_Genius	3
63	SkateboardR6	3
63	Powowowow	3
63	h2p_emrld	3
76	T045RTY	2
76	Lez_	2
76	joethahobo	2
76	H72l9w	2
76	Ssor69	2
76	heckface	2
76	Ozixar	2
76	ratglock	2
76	surfinggiraffejp	2
76	Paintz	2
76	benediktine1	2
76	Kakolbus	2
76	CollinMH06	2
76	loveseeker	2
76	Rumpletaezer	2
76	Arceus1975	2
76	domagawha	2
76	CruncyIsTaken	2
76	audiocracked	2
76	Jiminbub	2
76	sufjanlover	2
76	Deathkob	2
76	balin55	2
76	Fuad_R	2
76	Steven1282598	2
76	MakeHistory157	2
76	PortlyPete69	2
76	SpacesickPrism	2
76	ZeroKraken	2
76	Steelynan	2
76	Smoke____	2
107	Jovaphobic	1
107	Groovy_MoonBird	1
107	heysushii	1
107	dimondking777	1
107	Iagoku	1
107	Paleshield	1
107	Incinere	1
107	BodaciousCake	1
107	IWorkAtIkea	1
107	FirsTimeGamingTV	1
107	Euclidoris	1
107	Stynxy	1
107	InfernalMound	1
107	shyshyannne	1
107	r123moore	1
107	MyNameIsJobo	1
107	Studyhallsaver	1
107	RyuNeko932000	1
107	Corbsman	1
107	Kynigito	1
107	Moofyman	1
107	PigDab	1
107	lizardfightclub	1
107	Jimi7hits	1
107	groofles	1
107	Nicky19	1
107	fw3xywashere	1
107	Bl1tzFX	1
107	KlausVonStiglitz	1
107	El_Jalapeno	1
107	Typadopoulos	1
107	silverpopcorn	1
107	cytotoxaint	1
107	MovingFish7	1
107	Dusk_95	1
107	IAmTheWalrus910	1
107	WyngGoy	1
107	lcvezra	1
107	SammiWolfGirl	1
107	fffMike	1
107	MilleGrug	1
107	laron58	1
107	erkada	1
107	oxfordschool	1
107	Nicserso	1
107	YoshikageBites	1
107	EcksDofficial	1
107	Yahrto	1
107	diggydog67	1
