rank	username	minecraft:mined/minecraft:bamboo_slab
1	Mr_Byzantine	694
2	lpinfinity	321
3	Yamdalorian	247
4	k_ce	132
5	Cache3	107
6	_witch_craft_	77
7	_Duckery	70
8	Mr_Sun15	46
9	KamFurnace	39
10	SpacesickPrism	34
11	Buuck_	27
12	Napoleonpancake	22
13	Fullbit_	20
13	Synthoum	20
15	pintsizedrogue	15
16	Lez_	14
17	Dark_Crusader21	13
18	akap47	12
18	Steelynan	12
20	Hoid_the_Roamer	11
21	LuvLuvLove	10
22	Mr_Froxy	8
23	Mattesco	7
24	Merv__	6
25	Werbe	4
26	Bambuino	3
27	McCakeAh	2
27	kalzor	2
29	Kowcio_	1
