rank	username	minecraft:mined/minecraft:dispenser
1	HellsSponge	673
2	noam464	504
3	beeperbeeper5	351
4	Jackattack53	288
5	Di_infiri	287
6	El_Jalapeno	235
7	thescout7	229
8	EMC_	201
9	Hyp3rion_	179
10	Snowflowe	144
11	Yamdalorian	142
12	Mr_Byzantine	135
13	Manaateee	133
14	eitanzaki	120
15	Spacewardharpy7	111
16	pintsizedrogue	110
17	Arceus1975	105
18	thewindmillman	99
19	Warlord324	83
20	Deathkob	72
20	Ezekson	72
22	Fullut	71
23	lpinfinity	67
24	PhantomsGhost_	64
24	craaaash	64
26	Lez_	60
27	non089	59
28	Frozil20	55
28	PlasticOtari	55
30	Secret_Canary	54
30	Eczbek	54
32	500am	53
32	FreakGenius	53
32	Kowcio_	53
35	Rebytre	52
36	Blackberry1310	51
36	wx4z	51
36	fffMike	51
36	11Brewer	51
40	xxPipperDipperxx	49
40	PigDab	49
42	12Magner05	47
42	Werbe	47
42	Spaghettatron	47
45	CLG_Kata	45
45	mariominejedi	45
45	Blaiku	45
45	MC_Skribble	45
49	RebelAndroid	43
49	EcksD	43
51	pixelviolin	42
52	Mahoose	41
53	EveryonesUncle	40
53	ConnorDanky_	40
53	Jimb0nat0r	40
56	Alteriity	39
57	Gus2005	37
57	doublemaki	37
59	T045RTY	36
59	TheSecondLord	36
61	_Virify_	33
61	Huwulling	33
61	Awyrlas	33
61	StinkyDiplomat	33
65	TheDankPlatypus	32
66	sp00ky_ghost977	31
67	yheece	29
67	Inbefour	29
67	jnp_gaming	29
70	Hiryu27	28
71	AlexxO_o	27
71	fw3xy	27
73	Prismyst	26
74	lorpus	25
74	oscminus	25
76	Historical_Sand	24
76	Zythose	24
76	masskedman	24
76	Groundler	24
80	Steelynan	23
80	TwinTowerV2	23
82	Pumpkin_P_Patch	22
82	SpacesickPrism	22
84	MightyWertu	21
85	mwrty	20
85	PortlyPete69	20
85	Nicserso	20
85	FishisTTV	20
89	Apollo_993	19
89	_witch_craft_	19
89	Kakolbus	19
92	Ryan_GEMS	18
92	ImpavidArcher	18
92	Lord_Jord	18
95	skroobiez	17
95	SteveCraftBlocks	17
95	Masssonnn	17
95	Bumpy419	17
95	07shiny	17
95	EngagedGrub41	17
95	CattSoup	17
102	MyNameIsJobo	16
102	Rumpletaezer	16
102	IamCL4SSY	16
102	Segotep999	16
102	Soplight	16
102	obzii	16
102	Enderxz3	16
109	joethahobo	15
109	Comma__	15
109	Studio4x32	15
109	_8man	15
109	Skylord_Luke	15
109	AstreaTSS	15
109	jcool7	15
109	Legendosh	15
117	Mattesco	14
117	mihimihimihi	14
119	M_Patata	13
119	legal_tax_evader	13
119	MasterNueve	13
119	_Mythic____	13
119	CalebDHawk	13
124	j5ylim	12
124	ECstardust	12
124	tuckerdoodle	12
124	m_be9	12
124	MattieHD	12
124	blackeemperor	12
124	bruh072	12
124	AltnumberF4	12
132	Ryker	11
132	QuiCreans	11
132	Covalents	11
132	Fuad_R	11
132	Kyrum2169	11
132	miramyu	11
132	Jordan_R	11
139	Merv__	10
139	EKUG	10
139	CharlieButt	10
139	prizm_	10
139	pappaberg	10
139	seramalen	10
139	Quincannon	10
139	Hisiste	10
139	TechnoNinja64	10
148	AshleeCW	9
148	McCakeAh	9
148	bloodbiter	9
148	knarian	9
148	Fullbit_	9
148	gcaisawesome	9
148	CarltheCuck	9
148	EdGalbraith	9
148	Optiprimus	9
148	Quotary	9
148	UrbanPlanningEx	9
159	Niklas20114552	8
159	Literally_Rat	8
159	Paintz	8
159	GamerDuck123	8
159	Jimi7hits	8
159	ori0le	8
159	Kferno	8
166	q_wq	7
166	CoffeeNoir	7
166	Euclidoris	7
166	catandmoose	7
166	AspenLightVT	7
166	balin55	7
166	The_slideV3	7
166	Buuck_	7
166	IlkeCookes_	7
166	K_a__a_n	7
176	Jovaphobic	6
176	Crowman1	6
176	AngalexikCZ	6
176	PegLegPete93	6
176	bl1ss0	6
176	_Duckery	6
176	SlayerCrypto	6
176	epiksk8erduck	6
176	MAns_44	6
176	BartekB19	6
176	lordpipe	6
176	WyngGoy	6
176	TheKingK_	6
176	__tomato	6
176	Luigipunch989	6
176	NATE_the_HALO	6
176	Sheldor097	6
176	HesDemonPants	6
194	heysushii	5
194	diamondgolem35	5
194	Wooptey	5
194	Winklepicker279	5
194	Marbz_	5
194	2extreeme	5
194	Forcolp	5
194	Mr_Froxy	5
194	Maenara	5
194	Tyrannosplart	5
194	MustaLoordi	5
194	Blu3beast	5
194	_flud	5
194	Fildyr	5
194	Airem_Core	5
194	FiguraDei	5
194	Eraxa	5
194	PlzNoBM	5
194	Invintic	5
194	OfficerAnvil	5
194	es0th	5
215	H0UNDFRMH3LL	4
215	robertsnose	4
215	EkkoTraveler	4
215	SyntheticSurgeon	4
215	hydrothebot	4
215	MinttyFressh	4
215	kekhon	4
215	_Dean_123	4
215	slkiey	4
215	himak1	4
215	Inchef	4
215	benediktine1	4
215	Purplehere	4
215	hanaryheatwave	4
215	yaboo88	4
215	Boipl	4
215	grislgrobl	4
215	ooga47	4
215	Cruncy_	4
215	KliBeast21	4
215	GooseWithin	4
215	TheSeismicDuck	4
215	luseis	4
215	Fuhrer_Teemo	4
215	Xclax101	4
215	stavgod	4
