rank	username	minecraft:mined/minecraft:birch_slab
1	Eczbek	2956
2	Steelynan	842
3	TheShyPig	806
4	pintsizedrogue	786
5	Smoke____	737
6	Mahoose	658
7	Enderslayerxz3	543
8	thescout7	498
9	diggydog67	454
10	Blu3beast	440
11	Simon_Lowell	414
12	MangoTheFish	384
12	NoChumpChange	384
14	SuperPooch06	369
15	teslawolf38	358
16	Freak_Genius	357
17	MyNameIsJobo	333
18	KarlKaek	285
18	EveryonesUncle	285
20	Legendosh	283
21	El_Jalapeno	241
22	2Stout	235
23	kekhon	226
24	fred870d	216
25	SvenskaHugo	200
26	beeperbeeper5	197
27	mwrty	190
28	lordpipe	179
29	MonitorLizards	165
30	DkansK	152
31	MinttyFressh	151
32	djancak	140
33	The_slideV3	134
34	KlausVonStiglitz	126
35	Hoid_the_Roamer	125
35	Onennon	125
37	bndo	117
38	KeruNatsema	116
38	Ezekson	116
40	Eraxa	111
41	ccormacs	108
42	InfernalMound	103
43	Shin69	100
44	Groundler	99
45	titanlax	96
46	Motsaro	95
47	Diavri	93
48	_Cloverbelle_	91
49	rarrq	90
50	h2p_emrld	86
51	_Dean_123	85
52	12Magner05	84
53	SkateboardR6	83
53	Nicserso	83
55	PortlyPete69	82
56	DermeinUser	81
57	fr0stss	80
58	Bumpy419	77
59	Astronicky	76
59	hcb238	76
59	Optiprimus	76
59	Sheldor097	76
63	ImpavidArcher	74
64	500am	67
65	TinMaster	66
65	Arceus1975	66
65	Myhym	66
68	_Karmaa	63
68	felincaus	63
70	stellarjay	60
71	Ailmast	59
71	picardred	59
73	Rebytre	56
74	Inbefour	55
75	elicobnoah	54
75	Stiar	54
77	pumpfonzo	52
77	anbbang	52
79	beeleg	51
80	Tommhh	50
80	thewindmillman	50
82	NotTrixi	48
83	SteveCraftBlocks	47
83	SammiWolfGirl	47
85	xxPipperDipperxx	44
86	bigstankyy	43
86	Blackberry1310	43
88	EMC_	42
88	Nicky_H225	42
90	Jiminie	41
90	ProfessorDiaper	41
90	CalebDHawk	41
93	6king6colt6	40
93	eclipseboi	40
93	DaviusMaximoose	40
93	ooga47	40
97	Russiancat1	39
98	TheDankPlatypus	38
99	Racengan	36
99	IAmTheWalrus910	36
101	OnlyOfficial	35
102	CoffeeNoir	34
102	Zythose	34
102	dezxalo	34
102	chipklip	34
102	Soplight	34
107	BlancoFlaco	33
107	Truckoss	33
107	Kowcio_	33
107	Hermanni__	33
111	Akoot_	32
111	bluefragmentt	32
113	PegLegPete93	31
113	ItzYaBoiPicard	31
113	Di_infiri	31
116	hm947	30
117	Ssor69	29
118	monky_irl	28
119	JollyDroopy52	27
120	Ravenbie	26
121	Merv__	25
121	HollieDaNugget	25
123	Snowflowe	24
124	RebelAndroid	22
124	Myszoaz	22
124	SHAOBADMAN	22
124	Renchi19	22
124	NameGenerat0r	22
129	smarticuno	21
129	sxc_	21
129	Deathkob	21
129	Spacewardharpy7	21
129	a_smol_bean	21
134	heckface	20
134	himak1	20
134	fallingemma	20
134	Meatlaugh	20
138	SaucyDark	19
138	killmeiamtraitor	19
138	Jimi7hits	19
138	420BreadLizard	19
142	ApophisNova	18
142	NYJ	18
142	MyNamaSheff	18
145	Dedalus36	17
145	noam464	17
145	ChillenChiggen	17
145	Hiryu27	17
149	Travasaur	16
149	eitanzaki	16
149	Jackattack53	16
149	andy_rex	16
153	Sebaschan__	15
153	Frozil12	15
155	mimbo1211	14
155	GravitySaint	14
155	oxfordschool	14
155	EcksD	14
155	JasmineGK	14
160	seanitoo	13
160	Gundam_Steven	13
160	MrExplorer	13
160	DC_XII	13
160	ItsDeltaMC	13
160	Jij0	13
166	funeralhome	12
166	Inchef	12
166	tyraxxx	12
166	fkGrim	12
166	Blaiku	12
171	ivorico	11
171	wobn	11
