rank	username	minecraft:mined/minecraft:redstone_lamp
1	Xclax101	941
2	beeperbeeper5	828
3	Spaghettatron	495
4	Kowcio_	487
5	noam464	392
6	pintsizedrogue	333
7	Hyp3rion_	229
8	Yamdalorian	207
9	Niklas20114552	191
10	MattieHD	178
11	EveryonesUncle	161
12	fffMike	159
13	Manaateee	154
14	Jackattack53	143
15	Blu3beast	134
16	El_Jalapeno	127
17	ApophisNova	125
17	MyNamaSheff	125
19	eitanzaki	118
20	MyNameIsJobo	107
20	Zythose	107
22	royal_2	103
22	ROY4LE	103
24	PlasticOtari	100
25	m_be9	97
26	500am	96
27	PhantomsGhost_	90
28	Mahoose	86
29	kekhon	85
30	Mattesco	84
31	Mr_Byzantine	83
31	thewindmillman	83
33	Ssor69	81
34	_Karmaa	78
35	Eczbek	74
36	thescout7	72
37	lordpipe	71
38	Studio4x32	69
38	Di_infiri	69
40	OfficerAnvil	68
41	Blaiku	64
42	Lez_	62
42	burbankbuilder28	62
42	Lord_Jord	62
45	doublemaki	61
46	IamCL4SSY	60
46	_Mythic____	60
48	MAns_44	59
49	Hisiste	58
50	Nicserso	55
51	Awyrlas	54
52	The_slideV3	53
52	TheWickedBird	53
54	joethahobo	51
54	pixelviolin	51
56	Kakolbus	49
56	emreknugrlu	49
58	ImpavidArcher	48
58	TheShyPig	48
60	Prismyst	47
60	SSytex_X	47
62	12Magner05	44
63	rarrq	42
63	wx4z	42
65	miramyu	41
65	Skippeh	41
67	NoChumpChange	39
68	Buuck_	38
69	_Dean_123	36
70	11Brewer	35
71	TheSeismicDuck	33
71	Enderxz3	33
73	PortlyPete69	32
74	Rainaldus	31
75	Akoot_	30
76	Xalithia	28
76	HellsSponge	28
76	TheKingK_	28
79	SteveCraftBlocks	27
79	TechnoNinja64	27
81	Arceus1975	26
81	07shiny	26
83	TheSecondLord	25
83	PigDab	25
83	Spacewardharpy7	25
86	SammiWolfGirl	24
86	ConnorDanky_	24
88	powercas_gamer	23
89	SkateboardR6	22
89	MakeHistory157	22
89	Soplight	22
92	xxPipperDipperxx	21
92	Racengan	21
92	mihimihimihi	21
95	MSK__	20
95	ConnorTG5	20
97	jacxhadow	18
97	Jekyll	18
97	FishyBoy3811	18
100	Ryan_GEMS	17
100	jcool7	17
102	_witch_craft_	16
102	Western_1	16
102	jnp_gaming	16
105	PazinGaming	15
105	SlayerCrypto	15
105	AnnieBathory	15
105	Vorlice	15
109	Merv__	14
109	ECstardust	14
109	Megarboh	14
109	arcanemagic	14
109	Skylord_Luke	14
109	luseis	14
109	WyngGoy	14
116	Fildyr	13
116	bloomkieren	13
116	Steelynan	13
116	Legendosh	13
120	Winklepicker279	12
121	SDMNAEK	11
121	EcksD	11
123	emrekn	10
123	StinkyDiplomat	10
123	Groundler	10
123	Quotary	10
127	j5ylim	9
127	CLG_Kata	9
127	BadenOnGod	9
127	ssleepless	9
127	Archsam	9
127	LovableFemboy	9
127	Druid95	9
134	dopplexd	8
134	oscminus	8
134	Onennon	8
134	Fuad_R	8
134	PlzNoBM	8
