rank	username	minecraft:mined/minecraft:nether_brick_wall
1	BobDeBouwer1337	586
2	m_be9	165
3	TheSecondLord	144
4	DermeinUser	106
5	TheShyPig	74
6	Eraxa	67
7	jacxhadow	56
8	ooga47	44
8	yulgur1	44
10	beeperbeeper5	41
11	PigDab	31
11	Kowcio_	31
13	HellsSponge	30
14	TheBiggestFeller	27
15	ImpavidArcher	24
16	Soplight	22
17	dudcreeper	20
18	PlasticOtari	18
19	Merv__	14
19	kekhon	14
21	Cowison	13
21	Kakolbus	13
23	pintsizedrogue	12
23	noam464	12
25	Bandito_Roamer	10
25	Dooinfe	10
25	FlashMigma	10
28	eitanzaki	9
28	lordpipe	9
30	Segotep999	8
31	EveryonesUncle	7
32	GlitchyPlate810	6
33	Reamdin	5
33	500am	5
33	burbankbuilder28	5
33	Freak_Genius	5
33	Frozil12	5
33	Sheldor097	5
39	I_Am_Mushkin	4
39	ciemacigans	4
39	Bumpy419	4
39	adiccting01	4
43	MyNameIsJobo	3
43	Maenara	3
43	TheEnderman548	3
43	meilivHD	3
43	TechnoNinja64	3
48	Mahoose	2
48	ShedJr_	2
48	Kynigito	2
48	ADEXTV	2
48	Racengan	2
48	kyouma777	2
48	BlankityMcBlank	2
48	anbbang	2
48	YoshikageBites	2
57	Groovy_MoonBird	1
57	Gundam_Steven	1
57	Incinere	1
57	rarrq	1
57	Stynxy	1
57	Ardennes	1
57	Aatronix1	1
57	CarbonatedCola	1
57	NotTrixi	1
57	ROY4LE	1
57	SuperPooch06	1
57	Felenov	1
57	RobotMinion101	1
57	Deathkob	1
57	Dusk_95	1
57	WyngGoy	1
57	stahouo	1
57	Kubeusz2010	1
