rank	username	minecraft:mined/minecraft:granite_stairs
1	Stiar	141
2	TheShyPig	137
3	Yamdalorian	129
4	Snowflowe	123
5	r123moore	117
6	miramyu	83
7	Snow_Blizzard	79
8	Steelynan	66
9	PlasticOtari	52
10	Sleepy_Evelyn	49
11	Crizma_	44
12	Merv__	39
13	Lord_Jord	38
14	Mahoose	36
14	kekhon	36
16	Soplight	33
17	ImpavidArcher	28
18	Enderxz3	27
19	Kakolbus	22
20	skitzxo	20
21	Nicserso	17
22	Choco_Spy	14
23	paranoid_plant	13
23	Kowcio_	13
25	Malorn_Aetherius	12
25	Saucepeh	12
25	91stCataclysm	12
25	Meatlaugh	12
29	RobotMinion101	11
29	groofles	11
31	titanlax	8
31	Zythose	8
31	Akoot_	8
34	2Stout	7
34	salvinia	7
34	SingedBread	7
34	TheKingK_	7
38	NomadicRobin_	6
39	Incinere	5
39	Smashic	5
39	SpacesickPrism	5
39	TheRealHi	5
43	pintsizedrogue	4
43	Groovy_MoonBird	4
43	Maenara	4
43	SkateboardR6	4
47	PazinGaming	3
47	EMC_	3
47	Bumpy419	3
47	R1CHY2K	3
47	Deathkob	3
47	DarlaMeow	3
53	BobDeBouwer1337	2
53	SellyZ	2
53	gcaisawesome	2
53	TheDankPlatypus	2
53	radioactv_jelly	2
53	starbits140	2
53	tartanboy	2
53	Skippeh	2
61	Frozil20	1
61	Historical_Sand	1
61	Kkanot	1
61	GLLogan2	1
61	Mattesco	1
61	Dakar_	1
61	Racengan	1
61	SvenskaHugo	1
61	little_dUki	1
