rank	username	minecraft:mined/minecraft:red_mushroom
1	ooga47	1160
2	thewindmillman	913
3	SammiWolfGirl	441
4	hanaryheatwave	415
5	AdmiralSmoke	407
6	HellsSponge	399
7	Di_infiri	209
8	FreakGenius	198
9	Enderxz3	197
10	MattieHD	186
11	Lez_	182
12	EMC_	176
13	TechnoNinja64	175
14	T045RTY	167
15	luseis	158
16	Hyp3rion_	139
17	beeperbeeper5	136
18	kekhon	122
19	q_wq	111
20	TheShyPig	110
21	oscminus	104
22	eitanzaki	103
22	Legendosh	103
24	bloodbiter	100
25	GravitySaint	99
26	Frozil20	96
27	claivin	93
28	Apollo_993	89
29	Kakolbus	87
30	YungMaki	86
31	lordpipe	84
32	stavgod	82
33	500am	78
34	Razzgriz	75
35	xxPipperDipperxx	72
36	set67	71
37	Groovy_MoonBird	63
38	SellyZ	58
38	smogfrog	58
40	sp00ky_ghost977	57
41	skrongus	55
42	Mahoose	51
42	Blackberry1310	51
42	Akoot_	51
45	Soplight	48
46	pintsizedrogue	46
46	ITDV	46
46	thescout7	46
49	Malorn_Aetherius	45
50	Decaying_Lotus	44
51	k_ce	42
51	Luigipunch989	42
51	Invintic	42
54	Blaiku	39
55	Inchef	38
55	Werbe	38
57	Kubeusz2010	37
58	SpicyMeatballs	36
58	PigDab	36
60	lcvezra	35
60	Ezekson	35
62	noam464	34
63	RebelAndroid	32
63	m_be9	32
63	LetsDoItLive	32
66	Jimb0nat0r	31
67	_Nuf	30
67	ItzYaBoiPicard	30
67	LunarRedPanda	30
70	Historical_Sand	29
70	TheSecondLord	29
70	Fullut	29
70	NameGenerat0r	29
70	ReflexCode	29
75	MissCeleste7	28
76	H72l9w	26
76	Sral7	26
78	Ladder_Jockey	25
78	EveryonesUncle	25
78	_TCARREIRA_	25
81	ebanana	24
81	drumine	24
83	Spacewardharpy7	23
83	EtherealEspresso	23
83	CalebDHawk	23
86	PhantomBionic	22
86	ashetrays	22
86	burbankbuilder28	22
86	Shiirazu	22
86	Drewen24	22
86	Lord_Jord	22
86	APS_Dan	22
93	CliffEmAll	21
93	Cryptacity	21
93	Slavisaa	21
93	Spenduh	21
93	WYFYoyo	21
93	Deliriohm	21
99	Sleek_Storm_721	20
99	G1ldor	20
101	Batoser	19
101	ColeSnyder	19
101	AstreaTSS	19
101	MightyWertu	19
101	Optiprimus	19
106	xXTheWolfmanXx	18
106	DarkFisto	18
106	Winklepicker279	18
106	monky_irl	18
106	PlasticOtari	18
111	Deu_Stew	17
111	PhantomsGhost_	17
111	heckface	17
111	TheDiamondCG	17
111	AvaRosey	17
111	pixelviolin	17
111	athereall	17
111	Freedrik	17
119	Elprone266	16
119	F0mpel	16
119	RatatJuice	16
119	corpsecity	16
119	TheTrueClipse	16
119	Vorlice	16
119	annoyingenderman	16
119	Powowowow	16
127	6king6colt6	15
127	ShedJr_	15
127	ratglock	15
127	mimbo1211	15
127	vampgey	15
127	LilLizardWizard	15
127	ori0le	15
127	censorsheep	15
127	PortlyPete69	15
127	Steelynan	15
127	xolstoi	15
138	Seyaboy	14
138	joethahobo	14
138	boysnort	14
138	Darkgon	14
138	ComplexSquirrel	14
138	monke_anarchy	14
138	BlankityMcBlank	14
138	Dreamdbr14	14
146	tortillatitan	13
146	samtrid	13
146	Guillemet	13
146	Scattman_	13
146	StylesK	13
146	ReSynced	13
146	marumochis	13
146	xyfrs	13
146	Eraxa	13
155	TheBlackDeth	12
155	Tiberonus	12
155	eviltunix	12
155	Nohbu	12
155	Krowuss	12
155	KermitTheKripple	12
155	LordAurum	12
155	djancak	12
155	CattSoup	12
155	vandmanden	12
165	_darky1_	11
165	SmashingPump	11
