rank	username	minecraft:mined/minecraft:potted_cactus
1	Mahoose	37
2	kekhon	24
3	Kim_Jong_eel	21
4	TheDankPlatypus	15
4	Freak_Genius	15
6	Awyrlas	11
6	Kubeusz2010	11
8	500am	10
8	diggydog67	10
10	SaucyDark	7
10	gcaisawesome	7
10	PlasticOtari	7
13	Prismyst	6
13	TheShyPig	6
15	chipklip	5
15	Luigipunch989	5
17	Xalithia	4
17	burbankbuilder28	4
17	WarMachina	4
17	Onennon	4
17	duqboy	4
17	claivin	4
23	pintsizedrogue	3
23	AuroraValkyrie	3
23	Hyugo	3
23	ShedJr_	3
23	joethahobo	3
23	Vizzoid	3
23	jacxhadow	3
23	TableTim	3
23	NomadicRobin_	3
23	_Karmaa	3
23	sp00ky_ghost977	3
23	EcksDofficial	3
35	Groovy_MoonBird	2
35	RatatJuice	2
35	MSK__	2
35	titanlax	2
35	Blackberry1310	2
35	Cryptacity	2
35	Cambo5000	2
35	Kakolbus	2
35	Rumpletaezer	2
35	Ebsen05	2
35	Bumpy419	2
35	_naturell	2
35	CarryLine	2
35	RodSerlingCringe	2
35	MyNameIsDakar	2
35	Dusk_95	2
35	YungMaki	2
35	stellarjay	2
35	cichy096	2
35	Enderslayerxz3	2
55	SugarMyNuggets	1
55	diminub	1
55	RoskobiOne	1
55	Drlzyy	1
55	KarlKaek	1
55	ImpavidArcher	1
55	eitanzaki	1
55	beeperbeeper5	1
55	Howertt	1
55	Ozixar	1
55	Ardennes	1
55	Fullut	1
55	Smashic	1
55	Kamflame10	1
55	set67	1
55	Inchef	1
55	2Stout	1
55	xBaltaci	1
55	noam464	1
55	Marbz_	1
55	Zythose	1
55	AnnieBathory	1
55	_Boipl_	1
55	Rebytre	1
55	Skylord_Luke	1
55	ooga47	1
55	doctoruwot	1
55	jewbacaman	1
55	SvenskaAlvar	1
55	LilLizardWizard	1
55	Wowful	1
55	Inbefour	1
55	Jiminie	1
55	misomon	1
55	DarlaMeow	1
55	Warlord324	1
55	Airem_Core	1
55	EtherealEspresso	1
55	CalebDHawk	1
55	jcool7	1
55	Steelynan	1
55	Ezekson	1
55	little_dUki	1
55	TechnoNinja64	1
55	CrazyPotater	1
55	coobert42	1
55	00000000-0000-0000-0009-01ff0c3e5e4f	1
