rank	username	minecraft:mined/minecraft:gilded_blackstone
1	thewindmillman	694
2	TheSecondLord	607
3	Marbz_	414
4	k_ce	366
5	Legendosh	309
6	500am	300
7	lizardfightclub	276
8	Enderxz3	183
9	Hyp3rion_	173
10	Di_infiri	151
11	NomadicRobin_	146
12	Cowison	141
13	pixelviolin	129
14	excelsionprime	123
15	pintsizedrogue	109
16	wwwwinnebagoooo	102
17	Historical_Sand	100
18	joethahobo	75
19	ApophisNova	70
19	MyNamaSheff	70
21	r123moore	67
22	Fullut	63
22	Manaateee	63
22	diggydog67	63
25	Apollo_993	59
25	Frozil20	59
27	DarlaMeow	58
28	fanofbands101	57
29	Blaiku	56
30	noam464	55
31	j5ylim	52
32	Teebone15	51
33	YungMaki	48
34	himak1	44
35	jcool7	42
36	hanaryheatwave	41
37	luseis	38
38	beeperbeeper5	36
39	monky_irl	34
40	soundad	32
40	AdmiralSmoke	32
42	_Virify_	31
42	Alteriity	31
42	Mahoose	31
42	Iamthejo	31
46	ImpavidArcher	29
47	RadarHz	28
48	EMC_	25
49	set67	24
50	Smashic	23
50	ooga47	23
50	PlasticOtari	23
53	PhantomsGhost_	22
54	FreakGenius	21
54	Druid95	21
56	livingdaydreams	20
56	Krowuss	20
58	PazinGaming	19
59	Hpdinosaur	18
60	Lez_	17
60	rarrq	17
62	kekhon	16
62	mwrty	16
62	F_Uhre	16
65	RebelAndroid	15
65	Crowman1	15
65	Snowflowe	15
65	TheShyPig	15
69	Awyrlas	14
69	Spacewardharpy7	14
71	MAns_44	13
71	SingedBread	13
73	MinttyFressh	12
74	12Magner05	11
74	iSammael	11
74	Eraxa	11
77	Secret_Canary	10
77	benediktine1	10
77	Winklepicker279	10
77	SammiWolfGirl	10
77	Kubeusz2010	10
77	Jimb0nat0r	10
83	Arceus1975	9
84	NinjaKnifeKill	8
84	Silvo614	8
84	Ezekson	8
87	Da_Boss_Rani	7
87	JitteryJared2	7
87	Mattesco	7
87	Shogunite	7
87	Segotep999	7
87	Steelynan	7
93	MixerDixer	6
93	ECstardust	6
93	diamondgolem35	6
93	CarltheCuck	6
97	__lizi	5
97	ShedJr_	5
97	Zythose	5
97	2extreeme	5
97	HellsSponge	5
97	bluefragmentt	5
97	lordpipe	5
104	Touched_Bread	4
104	Akoot_	4
104	Cyntrical	4
104	djancak	4
104	EngagedGrub41	4
104	xolstoi	4
110	TooPure2	3
110	T045RTY	3
110	titanlax	3
110	Moofyman	3
110	Maenara	3
110	Hahaa_0	3
110	EveryonesUncle	3
110	Hisiste	3
110	IvarEXE	3
110	anbbang	3
110	WYFYoyo	3
121	_Razaria	2
121	eitanzaki	2
121	SyntheticSurgeon	2
121	Prismyst	2
121	ChampPog_	2
121	UncreativeArtist	2
121	Kakolbus	2
121	mariominejedi	2
121	Syropatathe	2
121	Airem_Core	2
121	ItsDeltaMC	2
121	Soplight	2
121	ConnorDanky_	2
121	FelixPSY375	2
135	ItsGrayWolf	1
135	Groovy_MoonBird	1
135	CLG_Kata	1
135	shineh10	1
135	powercas_gamer	1
135	itburb	1
135	CoffeeNoir	1
135	Blackberry1310	1
135	xPixelRainx	1
135	_Magdo_	1
135	whoaluv	1
135	WET_WET_WET	1
135	oscminus	1
135	Werbe	1
135	FishyBoy3811	1
135	Luminad3	1
135	Elastiq	1
135	yulgur1	1
135	Dakar_	1
135	claivin	1
135	fluddd	1
135	Racengan	1
135	Razzgriz	1
135	Decaying_Lotus	1
135	CACTUSLAD	1
135	tsitrawhy	1
135	Spenduh	1
135	lcvezra	1
135	Luigipunch989	1
135	NATE_the_HALO	1
135	Hermanni__	1
135	2blox_	1
135	trexgb	1
