rank	username	minecraft:mined/minecraft:lodestone
1	Mahoose	11
2	ConnorDanky_	9
2	Enderxz3	9
4	noam464	8
5	12Magner05	7
5	Eczbox	7
5	Eczbek	7
8	Awyrlas	5
9	mwrty	4
9	Eraxa	4
11	ECstardust	3
11	ShedJr_	3
11	beeperbeeper5	3
11	Winklepicker279	3
11	thewindmillman	3
11	FreakGenius	3
11	LazySupport00	3
18	j5ylim	2
18	Fullut	2
18	Xalithia	2
18	RebytreGT	2
18	Blaiku	2
18	YungMaki	2
18	Segotep999	2
18	EcksD	2
18	PlasticOtari	2
27	pintsizedrogue	1
27	_Virify_	1
27	RebelAndroid	1
27	T045RTY	1
27	CoffeeNoir	1
27	joethahobo	1
27	Historical_Sand	1
27	TheSecondLord	1
27	500am	1
27	Masssonnn	1
27	lorpus	1
27	Inchef	1
27	Touched_Bread	1
27	TheShyPig	1
27	Wowful	1
27	yulgur1	1
27	EveryonesUncle	1
27	Manaateee	1
27	blackeemperor	1
27	razorarctic	1
27	Kowcio_	1
27	Pumpkin_P_Patch	1
27	Kubeusz2010	1
27	Ezekson	1
