rank	username	minecraft:mined/minecraft:nether_gold_ore
1	PazinGaming	3593
2	RadarHz	3588
3	thewindmillman	3524
4	wwwwinnebagoooo	3055
5	Snowflowe	2685
6	Ryan_GEMS	1589
7	shadowthemonkey	1459
8	AdmiralSmoke	1429
9	Zythose	1422
10	500am	1419
11	EcksD	1268
12	Cowison	1247
13	RebelAndroid	1206
14	beeperbeeper5	1026
15	Enderxz3	989
16	luseis	943
17	set67	811
18	livingdaydreams	786
19	Deathkob	708
20	fade_emerge78823	707
21	NatalieTW	695
22	FreakGenius	657
23	Kakolbus	656
24	joethahobo	653
25	Apollo_993	636
26	kekhon	568
27	excelsionprime	551
28	Spacewardharpy7	528
29	_Virify_	526
30	Iamthejo	510
31	Touched_Bread	506
32	Smashic	473
33	noam464	472
34	BlancoFlaco	467
35	Fullut	466
36	SingedBread	458
37	shineh10	449
38	NomadicRobin_	421
39	UncreativeArtist	415
40	yulgur1	410
41	M_Patata	390
41	MasterNueve	390
43	NinjaKnifeKill	378
44	EveryonesUncle	375
45	CharlieButt	361
46	pintsizedrogue	358
47	Hermanni__	355
48	Manaateee	324
49	T045RTY	323
50	djancak	319
51	_i_ERROR_i_	306
52	r123moore	300
53	DanTheBuilderino	295
54	Ryker	289
55	Skylord_Luke	284
55	mihimihimihi	284
57	CliffEmAll	282
57	TheSecondLord	282
59	bloodbiter	277
60	Druid95	269
61	masskedman	267
62	BobDeBouwer1337	258
63	jacxhadow	257
64	00000000-0000-0000-0009-01ff0c3e5e4f	256
65	Eraza	246
66	Xalithia	240
66	fffMike	240
68	Yatitay	239
69	trixterrx	238
69	Kubeusz2010	238
71	Luigipunch989	236
72	Werbe	234
73	fanofbands101	229
73	Avocadogerms	229
75	LeEricc	225
76	coobert42	215
77	Winklepicker279	213
78	diamondgolem35	212
78	Rebytre	212
80	theonlymagikarp	210
81	_Yonk_	203
82	hm947	202
82	remmisrat	202
84	ROY4LE	198
84	Hyp3rion_	198
86	PuFY	196
87	TAKrules	195
88	Razzgriz	192
88	diggydog67	192
90	12Magner05	191
91	bigstankyy	188
92	SammiWolfGirl	187
92	striker90333	187
94	_Mythic____	186
95	Ezekson	185
96	mariominejedi	181
96	Segotep999	181
98	CoffeeNoir	179
99	TheDankPlatypus	175
99	Leyna3	175
101	Alteriity	169
101	Krowuss	169
101	HellsSponge	169
104	Badenbeele	168
105	Mahoose	167
106	Awyrlas	164
107	TheShyPig	163
108	Kowcio_	156
109	JohnnyFyes	152
109	whoaluv	152
111	PlasticOtari	149
112	MAns_44	146
113	Kferno	140
114	jushykins	139
114	Arceus1975	139
114	amkold	139
117	gcaisawesome	133
118	pumpfonzo	131
118	lizardfightclub	131
120	Lutres_	130
121	KeruNatsema	128
122	07shiny	121
123	Groovy_MoonBird	119
123	Strangemonkey71	119
123	EngagedGrub41	119
126	ogoa	118
126	LeonelSalamanca	118
126	YungMaki	118
129	The_Fulgurator	115
129	censorsheep	115
131	AltnumberF4	112
132	himak1	111
133	ITDV	109
134	HolyVenom	108
134	monky_irl	108
136	Sleek_Storm_721	107
137	zToasty69z	106
138	Silvo614	102
139	Hpdinosaur	101
140	JitteryJared2	100
141	k_ce	99
141	ShedJr_	99
141	calamariclam_I	99
144	SaintJosie	98
145	SuperPooch06	95
