rank	username	minecraft:mined/minecraft:magenta_terracotta
1	Hyp3rion_	566
2	joethahobo	496
3	TheSecondLord	171
4	Merv__	137
5	mobunni	136
6	pintsizedrogue	110
7	sxc_	104
8	Smoke____	97
9	Rumpletaezer	75
9	thewindmillman	75
11	EMC_	65
12	YungMaki	36
13	Soplight	35
14	PlasticOtari	29
15	Inbefour	20
16	Arceus1975	9
16	lordpipe	9
18	Lez_	7
18	fluddd	7
18	__tomato	7
21	_HoneySlime_	6
21	mwrty	6
21	NameGenerat0r	6
24	theonlymagikarp	5
24	ooga47	5
24	Lord_Jord	5
24	oxfordschool	5
28	Mahoose	4
28	stahouo	4
28	EcksD	4
31	Hpdinosaur	3
32	Groovy_MoonBird	2
32	Bandito_Roamer	2
32	beeperbeeper5	2
32	kekhon	2
32	HAIRYCLOUD626	2
32	FelixPSY375	2
32	The_SlideV5	2
39	Batman922	1
39	peach0s	1
39	500am	1
39	noam464	1
39	Jiminie	1
39	Steelynan	1
39	Sral7	1
